Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsContestedTotal,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsContested,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,TouchdownsTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,AlignmentBackfieldRoutesPercentage,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,TargetedReadFirstTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsInside20ReceivingTargetsTotal,playerStatsGamesPlayed,DropsTotal,AveragesPerTargetDropsTotal,AlignmentInlineRoutesPercentage,ReceptionsHero
Cade Otton,TB,TE,109,No,No,Yes,52,9,No,,Yes,9,1,0.1731,8,,0.8889,62,81,25,-19,,2,0.25,,0.3846,0.0577,6,4,0.4444,-2.1111,95.4,1.1923,6.8889,1.534,7.75,10.125,3.125,2,13.4586,13.4586,0.0826,6.2,14.2,10.2,14.2,18.2,14.2,10.2,14.2,14.2,14.2,10.2,18.2,14.2,,16,1,0.1111,0.5577,
DeMario Douglas,NE,WR,37,Yes,No,Yes,31,12,No,,Yes,11,0.9167,0.3871,11,,0.9167,73,103,15,-36,,2,0.1818,0.0323,0.7742,0.1935,8,6,0.5,-3,92,2.3548,6.0833,1.1959,6.6364,9.3636,1.3636,2,19.3945,19.3945,0.3243,7.3,18.3,12.8,18.3,18.3,18.3,12.8,18.3,18.3,18.3,12.8,18.3,18.3,,17,,,,
Xavier Weaver,ARZ,WR,27,Yes,No,No,19,,No,,Yes,,,,,,,,,,,,,,,0.2105,0.7895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,
Eric Saubert,SEA,TE,14,Yes,No,Yes,3,1,No,,Yes,1,1,0.3333,1,,1,1,3,,-2,,,,,,0.3333,,,,-2,79.2,0.3333,1,-3.8511,1,3,,,1.6469,1.6469,0.0714,0.1,1.1,0.6,1.1,1.6,1.1,0.6,1.1,1.1,1.1,0.6,1.6,1.1,1,11,,,0.6667,
Ray-Ray McCloud,NYG,WR,20,No,Yes,Yes,14,3,No,,Yes,3,1,0.2143,2,,0.6667,5,15,11,-13,,1,0.5,,0.2857,0.7143,3,2,0.6667,-4.3333,70.1,0.3571,1.6667,-2.4741,2.5,7.5,5.5,1,4.3685,4.3685,0.15,0.5,2.5,1.5,2.5,2.5,2.5,1.5,2.5,2.5,2.5,1.5,2.5,2.5,,6,1,0.3333,,
Tucker Fisk,LAC,TE,17,No,No,No,8,2,No,,Yes,2,1,0.25,2,,1,19,21,5,-2,,,,,,0.125,1,1,0.5,-1,106.3,2.375,9.5,4.4299,9.5,10.5,2.5,1,2.891,2.891,0.1176,1.9,3.9,2.9,3.9,4.9,3.9,2.9,3.9,3.9,3.9,2.9,4.9,3.9,,10,,,0.875,
Tai Felton,MIN,WR,11,Yes,No,Yes,7,1,No,,Yes,1,1,0.1429,1,,1,10,12,3,-2,,,,,0.1429,0.8571,1,,,-2,108.3,1.4286,10,4.5009,10,12,3,1,1.3603,1.3603,0.0909,1,2,1.5,2,2,2,1.5,2,2,2,1.5,2,2,,14,,,,
Jimmy Horn,CAR,WR,21,No,No,Yes,19,6,No,,Yes,6,1,0.3158,6,,1,31,52,19,-21,,2,0.3333,0.0526,0.7895,0.1579,3,3,0.5,-3.5,88.2,1.6316,5.1667,0.4318,5.1667,8.6667,3.1667,1,10.4155,10.4155,0.2857,3.1,9.1,6.1,9.1,9.1,9.1,6.1,9.1,9.1,9.1,6.1,9.1,9.1,1,13,,,,
Brian Robinson,SF,RB,11,Yes,No,Yes,8,5,No,,Yes,4,0.8,0.625,4,,0.8,11,31,12,-21,,3,0.75,0.75,0.125,0.125,1,1,0.2,-4.2,79.2,1.375,2.2,-3.3976,2.75,7.75,3,1,7.8231,7.8231,0.4545,1.1,5.1,3.1,7.1,5.1,5.1,3.1,5.1,5.1,5.1,3.1,5.1,5.1,1,17,,,,
Alvin Kamara,NO,RB,40,Yes,No,No,21,15,No,,Yes,15,1,0.7143,15,,1,65,126,20,-61,,4,0.2667,0.8571,0.0476,0.0952,8,4,0.2667,-4.0667,84.7,3.0952,4.3333,-1.3364,4.3333,8.4,1.3333,2,25.0032,25.0032,0.375,5.5,20.5,13,28,20.5,20.5,12,19.5,19.5,19.5,12,20.5,19.5,2,11,,,,
Gunner Olszewski,NYG,WR,13,No,No,No,11,2,No,,Yes,2,1,0.1818,2,,1,11,16,6,-5,,,,,0.5455,0.4545,2,2,1,-2.5,89.6,1,5.5,0.1725,5.5,8,3,1,2.9127,2.9127,0.1538,1.1,3.1,2.1,3.1,3.1,3.1,2.1,3.1,3.1,3.1,2.1,3.1,3.1,,16,,,,
Travis Hunter,JAX,WR,35,No,No,No,27,10,No,,Yes,10,1,0.3704,10,,1,47,70,23,-23,,3,0.3,0.0741,0.7407,0.1852,8,7,0.7,-2.3,86.3,1.7407,4.7,-0.6057,4.7,7,2.3,2,18.194,18.194,0.2857,4.7,14.7,9.7,14.7,14.7,14.7,9.7,14.7,14.7,14.7,9.7,14.7,14.7,1,7,,,,
Kendre Miller,NO,RB,9,Yes,No,No,4,3,No,,Yes,3,1,0.75,3,,1,17,27,14,-10,,3,1,1,,,1,1,0.3333,-3.3333,90.3,4.25,5.6667,-0.0867,5.6667,9,4.6667,,4.9248,4.9248,0.3333,1.7,4.7,3.2,6.2,4.7,4.7,3.2,4.7,4.7,4.7,3.2,4.7,4.7,,7,,,,
Thomas Fidone,NYG,TE,2,No,No,No,2,,No,,Yes,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,0.5,
Braxton Berrios,HST,WR,7,No,No,No,5,1,No,,Yes,1,1,0.2,1,,1,-1,7,2,-8,,,,0.2,0.8,,,,,-8,79.2,-0.2,-1,-3.5405,-1,7,2,,1.15,1.15,0.1429,-0.1,0.9,0.4,0.9,0.9,0.9,0.4,0.9,0.9,0.9,0.4,0.9,0.9,1,4,,,,
DK Metcalf,PIT,WR,120,No,No,Yes,88,13,No,,Yes,13,1,0.1477,13,,1,98,126,27,-28,,3,0.2308,,0.2159,0.7841,13,10,0.7692,-2.1538,98.1,1.1136,7.5385,2.181,7.5385,9.6923,2.0769,4,22.6945,22.6945,0.1083,9.8,22.8,16.3,22.8,22.8,22.8,16.3,22.8,22.8,22.8,16.3,22.8,22.8,2,15,,,,
Mark Andrews,BLT,TE,40,No,No,No,20,2,No,,Yes,2,1,0.1,2,,1,3,3,2,,,,,,0.65,0.15,1,,,,79.2,0.15,1.5,-3.789,1.5,1.5,1,,2.9489,2.9489,0.05,0.3,2.3,1.3,2.3,3.3,2.3,1.3,2.3,2.3,2.3,1.3,3.3,2.3,,17,,,0.2,
Parker Washington,JAX,WR,40,No,No,No,23,4,No,,Yes,4,1,0.1739,4,,1,16,30,5,-14,,1,0.25,,0.6087,0.3913,4,4,1,-3.5,83.3,0.6957,4,-0.7455,4,7.5,1.25,,8.4095,8.4095,0.1,1.6,5.6,3.6,5.6,5.6,5.6,3.6,5.6,5.6,5.6,3.6,5.6,5.6,1,16,,,,
Evan Hull,NO,RB,5,No,Yes,No,2,1,No,,No,1,1,0.5,1,,1,6,9,1,-3,,,,1,,,,,,-3,91.7,3,6,-0.1191,6,9,1,,1.5235,1.5235,0.2,0.6,1.6,1.1,2.1,1.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,,6,,,,
Breece Hall,NYJ,RB,36,No,No,No,20,16,No,,Yes,16,1,0.8,15,,0.9375,179,237,23,-58,1,4,0.2667,0.85,0.1,0.05,12,10,0.625,-3.625,134.1,8.95,11.1875,5.5451,11.9333,15.8,1.5333,7,27.972,27.972,0.4444,23.9,38.9,31.4,46.4,38.9,41.9,34.4,38.9,38.9,38.9,31.4,38.9,38.9,2,16,1,0.0625,,
Trent Sherfield,ARZ,WR,21,No,Yes,Yes,10,1,Yes,,Yes,1,1,0.1,1,,1,3,5,2,-2,,,,,0.5,0.5,1,,,-2,79.2,0.3,3,-2.4991,3,5,2,,1.6892,1.6892,0.0476,0.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,1,12,,,,
Tyquan Thornton,KC,WR,44,Yes,No,Yes,21,1,No,,Yes,1,1,0.0476,1,,1,5,7,4,-2,,,,,0.381,0.619,1,1,1,-2,87.5,0.2381,5,-0.4991,5,7,4,,1.5145,1.5145,0.0227,0.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,,14,,,,
Julian Hill,MIA,TE,49,Yes,No,Yes,18,7,No,1,Yes,6,0.8571,0.3889,6,1,0.8571,47,53,14,-6,,,,,0.1667,,5,2,0.2857,-0.8571,94.6,2.6111,6.7143,1.4609,7.8333,8.8333,2.3333,2,11.7251,11.7251,0.1429,4.7,10.7,7.7,10.7,13.7,10.7,7.7,10.7,10.7,10.7,7.7,13.7,10.7,1,14,,,0.8333,
Dameon Pierce,KC,RB,1,Yes,No,No,1,1,No,,Yes,1,1,1,,,,,,,-5,,,,1,,,1,,,-5,39.6,,,-5.8711,,,,,1.873,1.873,1,,,,,,,,,,,,,,,5,1,1,,
Blake Corum,LA,RB,23,Yes,No,No,6,5,No,,Yes,4,0.8,0.8333,3,,0.6,3,18,4,-19,,1,0.3333,0.6667,0.3333,,2,2,0.4,-3.8,64.6,0.5,0.6,-5.0424,1,6,1.3333,,8.217,8.217,0.2174,0.3,3.3,1.8,4.8,3.3,3.3,1.8,3.3,3.3,3.3,1.8,3.3,3.3,1,17,1,0.2,,
Charlie Woerner,ATL,TE,47,No,Yes,No,19,3,No,1,No,3,1,0.1579,3,1,1,1,13,11,-12,,1,0.3333,0.1053,0.1579,0.0526,1,,,-4,79.2,0.0526,0.3333,-5.273,0.3333,4.3333,3.6667,,4.004,4.004,0.0638,0.1,3.1,1.6,3.1,4.6,3.1,1.6,3.1,3.1,3.1,1.6,4.6,3.1,,17,,,0.6842,
Mason Kinsey,TEN,WR,6,No,No,No,4,,No,,Yes,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,
Omarion Hampton,LAC,RB,35,No,No,Yes,30,24,No,1,Yes,23,0.9583,0.8,23,1,0.9583,124,208,62,-84,1,2,0.087,0.8333,0.1667,,16,11,0.4583,-3.5,102.1,4.1333,5.1667,-0.5688,5.3913,9.0435,2.6957,7,39.0219,39.0219,0.6857,18.4,41.4,29.9,52.9,41.4,44.4,32.9,41.4,41.4,41.4,29.9,41.4,41.4,2,9,,,,
Josh Palmer,BUF,WR,32,Yes,No,No,21,2,No,,Yes,2,1,0.0952,2,,1,3,9,,-6,,,,,0.1905,0.7619,2,,,-3,79.2,0.1429,1.5,-3.4921,1.5,4.5,,,4.6794,4.6794,0.0625,0.3,2.3,1.3,2.3,2.3,2.3,1.3,2.3,2.3,2.3,1.3,2.3,2.3,1,12,,,0.0476,
Antonio Gibson,NE,RB,4,No,No,No,4,2,No,,Yes,2,1,0.5,2,,1,6,16,5,-10,,,,1,,,2,2,1,-5,79.2,1.5,3,-2.3296,3,8,2.5,,2.7958,2.7958,0.5,0.6,2.6,1.6,3.6,2.6,2.6,1.6,2.6,2.6,2.6,1.6,2.6,2.6,,5,,,,
Chris Moore,WAS,WR,32,No,No,Yes,18,,No,,Yes,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,
Tutu Atwell,LA,WR,18,Yes,No,No,10,,No,,Yes,,,,,,,,,,,,,,,0.4,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,
CJ Dippre,NE,TE,2,Yes,No,Yes,1,,No,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,
David Moore,CAR,WR,10,Yes,No,Yes,7,,No,,Yes,,,,,,,,,,,,,,,0.2857,0.7143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,
Amon-Ra St. Brown,DET,WR,97,No,No,No,64,15,No,,No,15,1,0.2344,15,,1,100,148,37,-48,3,6,0.4,0.0312,0.3906,0.5781,15,12,0.8,-3.2,134,1.5625,6.6667,1.7945,6.6667,9.8667,2.4667,6,24.6661,24.6661,0.1546,28,43,35.5,43,43,46,38.5,43,43,43,35.5,43,43,6,17,,,,
Isaiah Williams,NYJ,WR,36,Yes,No,No,26,14,No,1,Yes,12,0.8571,0.5385,12,1,0.8571,45,85,21,-48,,1,0.0833,0.0385,0.6923,0.2692,13,12,0.8571,-3.4286,80.1,1.7308,3.2143,-1.5306,3.75,7.0833,1.75,2,21.9298,21.9298,0.3889,4.5,16.5,10.5,16.5,16.5,16.5,10.5,16.5,16.5,16.5,10.5,16.5,16.5,1,15,,,,
Braelon Allen,NYJ,RB,4,No,No,No,1,1,No,,No,1,1,1,,,,,,,,,,,1,,,1,,,,39.6,,,-5.8271,,,,,2.6444,2.6444,0.25,,,,,,,,,,,,,,1,4,1,1,,
Josiah Deguara,ARZ,TE,10,Yes,No,No,7,,No,,Yes,,,,,,,,,,,,,,,0.1429,0.1429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,0.7143,
Adam Thielen,PIT,WR,51,No,No,No,32,1,No,,Yes,1,1,0.0312,1,,1,7,7,3,,,,,,0.625,0.375,1,1,1,,95.8,0.2188,7,0.9614,7,7,3,,1.3899,1.3899,0.0196,0.7,1.7,1.2,1.7,1.7,1.7,1.2,1.7,1.7,1.7,1.2,1.7,1.7,,16,,,,
Elijah Higgins,ARZ,TE,46,Yes,No,No,31,10,No,,Yes,10,1,0.3226,10,,1,66,85,33,-19,,10,1,,0.3871,0.0323,5,3,0.3,-1.9,94.2,2.129,6.6,1.0451,6.6,8.5,3.3,1,14.2763,14.2763,0.2174,6.6,16.6,11.6,16.6,21.6,16.6,11.6,16.6,16.6,16.6,11.6,21.6,16.6,,17,,,0.5806,
Jonnu Smith,PIT,TE,85,No,No,No,52,21,No,,Yes,21,1,0.4038,20,,0.9524,78,123,43,-45,1,5,0.25,0.0192,0.3462,0.2115,17,12,0.5714,-2.1429,98,1.5,3.7143,-1.7592,3.9,6.15,2.15,3,34.3342,34.3342,0.2471,13.8,33.8,23.8,33.8,43.8,33.8,23.8,33.8,33.8,33.8,23.8,43.8,33.8,3,17,1,0.0476,0.4231,
Harrison Bryant,HST,TE,4,Yes,Yes,No,2,1,No,,Yes,,,0.5,,,,,,,-2,,,,,,,,,,-2,39.6,,,-4.8511,,,,,1.5667,1.5667,0.25,,,,,,,,,,,,,,,12,,,1,
Tylan Wallace,BLT,WR,13,No,No,No,8,1,No,,Yes,1,1,0.125,1,,1,6,7,1,-1,,,,,0.25,0.75,1,1,1,-1,91.7,0.75,6,-0.1699,6,7,1,,1.3738,1.3738,0.0769,0.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,,14,,,,
Mason Taylor,NYJ,TE,32,No,No,No,13,3,No,,Yes,2,0.6667,0.2308,1,,0.3333,-5,2,1,-17,,,,,0.3077,0.3077,2,2,0.6667,-5.6667,42.4,-0.3846,-1.6667,-6.6165,-5,2,1,,4.2751,4.2751,0.0938,-0.5,0.5,,0.5,1,0.5,,0.5,0.5,0.5,,1,0.5,,13,1,0.3333,0.3846,
Emanuel Wilson,GB,RB,26,Yes,No,Yes,15,11,No,,Yes,11,1,0.7333,10,,0.9091,50,94,28,-49,,3,0.3,0.9333,0.0667,,4,4,0.3636,-4.4545,85.6,3.3333,4.5455,-1.0324,5,9.4,2.8,2,17.0931,17.0931,0.4231,5,15,10,20,15,15,10,15,15,15,10,15,15,1,17,1,0.0909,,
Quentin Johnston,LAC,WR,63,No,No,Yes,48,10,No,,Yes,10,1,0.2083,10,,1,93,106,39,-13,,7,0.7,,0.125,0.875,10,7,0.7,-1.3,105.4,1.9375,9.3,3.4805,9.3,10.6,3.9,4,15.4657,15.4657,0.1587,9.3,19.3,14.3,19.3,19.3,19.3,14.3,19.3,19.3,19.3,14.3,19.3,19.3,1,14,,,,
Ja'Corey Brooks,WAS,WR,1,No,No,No,1,,No,,Yes,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Chris Manhertz,NYG,TE,9,No,No,No,3,,No,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,1,
Blake Whiteheart,CLV,TE,23,No,No,No,12,1,No,,Yes,1,1,0.0833,1,,1,,,,,,,,,0.1667,0.0833,,,,,79.2,,,-5.289,,,,,1.5682,1.5682,0.0435,,1,0.5,1,1.5,1,0.5,1,1,1,0.5,1.5,1,,16,,,0.75,
Garrett Wilson,NYJ,WR,14,No,No,No,11,2,No,,Yes,2,1,0.1818,2,,1,9,17,3,-8,,,,,0.4545,0.5455,2,2,1,-4,85.4,0.8182,4.5,0.0149,4.5,8.5,1.5,,4.4189,4.4189,0.1429,0.9,2.9,1.9,2.9,2.9,2.9,1.9,2.9,2.9,2.9,1.9,2.9,2.9,,7,,,,
Corey Kiner,ARZ,RB,4,Yes,No,No,3,,No,,Yes,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,
Jeff Wilson,MIA,RB,1,Yes,No,Yes,1,,No,,Yes,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,
Kameron Johnson,TB,WR,12,No,No,Yes,8,1,No,,Yes,1,1,0.125,1,,1,,1,,-1,,,,,0.125,0.875,1,1,1,-1,79.2,,,-6.1699,,1,,,1.349,1.349,0.0833,,1,0.5,1,1,1,0.5,1,1,1,0.5,1,1,,17,,,,
Dyami Brown,JAX,WR,41,No,No,No,27,4,No,,Yes,4,1,0.1481,4,,1,11,21,10,-10,,1,0.25,,0.2222,0.7778,4,4,1,-2.5,79.2,0.4074,2.75,-2.5237,2.75,5.25,2.5,,6.6285,6.6285,0.0976,1.1,5.1,3.1,5.1,5.1,5.1,3.1,5.1,5.1,5.1,3.1,5.1,5.1,2,14,,,,
Luther Burden,CHI,WR,39,No,No,No,31,15,No,,No,15,1,0.4839,15,,1,53,110,35,-57,,4,0.2667,,0.4839,0.5161,15,15,1,-3.8,81.4,1.7097,3.5333,-1.0995,3.5333,7.3333,2.3333,2,24.0064,24.0064,0.3846,5.3,20.3,12.8,20.3,20.3,20.3,12.8,20.3,20.3,20.3,12.8,20.3,20.3,3,15,,,,
Elic Ayomanor,TEN,WR,91,No,No,No,43,2,No,,Yes,1,0.5,0.0465,1,,0.5,6,7,4,-12,,,,,0.1163,0.8837,2,1,0.5,-6,56.3,0.1395,3,-1.3552,6,7,4,,2.573,2.573,0.022,0.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,,16,,,,
Andre Baccellia,ARZ,WR,12,No,Yes,Yes,8,1,Yes,,Yes,1,1,0.125,1,,1,3,6,3,-3,,2,2,,0.125,0.875,1,1,1,-3,79.2,0.375,3,-1.9408,3,6,3,,1.6358,1.6358,0.0833,0.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,,5,,,,
Ty Johnson,BUF,RB,56,Yes,No,No,41,23,No,1,Yes,20,0.8696,0.561,18,,0.7826,165,244,100,-94,2,7,0.3889,0.6098,0.2439,0.1463,17,15,0.6522,-4.087,125.5,4.0244,7.1739,1.4885,9.1667,13.5556,5.5556,8,34.7769,34.7769,0.4107,28.5,46.5,37.5,55.5,46.5,49.5,40.5,46.5,46.5,46.5,37.5,46.5,46.5,3,17,1,0.0435,,
Van Jefferson,TEN,WR,73,No,Yes,No,35,2,No,,Yes,2,1,0.0571,2,,1,18,23,5,-5,,,,,0.1143,0.8857,2,1,0.5,-2.5,104.2,0.5143,9,3.9009,9,11.5,2.5,1,4.2099,4.2099,0.0274,1.8,3.8,2.8,3.8,3.8,3.8,2.8,3.8,3.8,3.8,2.8,3.8,3.8,,16,,,,
Kareem Hunt,KC,RB,61,Yes,No,No,27,15,No,,Yes,12,0.8,0.5556,12,,0.8,98,125,34,-32,,2,0.1667,0.9259,0.0741,,9,6,0.4,-2.1333,93.9,3.6296,6.5333,0.6527,8.1667,10.4167,2.8333,5,23.5092,23.5092,0.2459,9.8,21.8,15.8,27.8,21.8,21.8,15.8,21.8,21.8,21.8,15.8,21.8,21.8,2,17,,,,
Derrick Henry,BLT,RB,21,No,No,No,10,7,No,1,Yes,6,0.8571,0.7,6,1,0.8571,38,47,20,-11,,2,0.3333,1,,,3,2,0.2857,-1.5714,89.3,3.8,5.4286,-0.5315,6.3333,7.8333,3.3333,1,10.4047,10.4047,0.3333,3.8,9.8,6.8,12.8,9.8,9.8,6.8,9.8,9.8,9.8,6.8,9.8,9.8,,17,,,,
Robert Tonyan,KC,TE,13,Yes,No,No,4,,No,,Yes,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,0.75,
Sean McKeon,IND,TE,2,Yes,Yes,No,1,,No,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,
Zach Charbonnet,SEA,RB,25,Yes,No,Yes,13,6,No,,Yes,6,1,0.4615,6,,1,19,35,7,-16,,2,0.3333,0.7692,0.1538,0.0769,5,4,0.6667,-2.6667,79.9,1.4615,3.1667,-2.809,3.1667,5.8333,1.1667,1,11.9536,11.9536,0.24,1.9,7.9,4.9,10.9,7.9,7.9,4.9,7.9,7.9,7.9,4.9,7.9,7.9,2,16,,,,
Chuba Hubbard,CAR,RB,44,No,No,Yes,30,26,No,,Yes,25,0.9615,0.8667,22,,0.8462,138,227,56,-100,1,7,0.3182,0.9,0.0333,0.0667,12,8,0.3077,-3.8462,101.6,4.6,5.3077,-0.2334,6.2727,10.3182,2.5455,7,42.4002,42.4002,0.5909,19.8,41.8,30.8,52.8,41.8,44.8,33.8,41.8,41.8,41.8,30.8,41.8,41.8,5,15,3,0.1154,,
Jared Wayne,HST,WR,3,Yes,No,No,2,,No,,Yes,,,,,,,,,,,,,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
AJ Barner,SEA,TE,40,Yes,No,Yes,23,8,No,,Yes,8,1,0.3478,7,,0.875,55,66,16,-12,,,,,0.087,0.087,6,2,0.25,-1.5,95.3,2.3913,6.875,1.3006,7.8571,9.4286,2.2857,2,12.74,12.74,0.2,5.5,12.5,9,12.5,16,12.5,9,12.5,12.5,12.5,9,16,12.5,,17,1,0.125,0.8261,
Rachaad White,TB,RB,64,No,No,Yes,48,34,No,,Yes,34,1,0.7083,34,,1,152,289,87,-137,,10,0.2941,0.7917,0.1667,0.0417,24,23,0.6765,-4.0294,85.3,3.1667,4.4706,-1.1718,4.4706,8.5,2.5588,5,56.669,56.669,0.5312,15.2,49.2,32.2,66.2,49.2,52.2,35.2,49.2,49.2,49.2,32.2,49.2,49.2,8,17,,,,
Cam Grandy,CIN,TE,3,No,No,No,3,2,No,,Yes,2,1,0.6667,2,,1,7,13,11,-6,,,,,0.3333,,2,1,0.5,-3,81.3,2.3333,3.5,-2.0938,3.5,6.5,5.5,,2.6293,2.6293,0.6667,0.7,2.7,1.7,2.7,3.7,2.7,1.7,2.7,2.7,2.7,1.7,3.7,2.7,,5,,,0.6667,
Elijah Moore,BUF,WR,22,No,No,No,17,5,Yes,1,Yes,5,1,0.2941,3,,0.6,2,16,5,-18,,1,0.3333,,0.2353,0.7647,5,3,0.6,-3.6,64.6,0.1176,0.4,-4.4187,0.6667,5.3333,1.6667,,6.8306,6.8306,0.2273,0.2,3.2,1.7,3.2,3.2,3.2,1.7,3.2,3.2,3.2,1.7,3.2,3.2,,9,2,0.4,,
Malachi Corley,CLV,WR,23,No,No,No,17,7,No,,Yes,6,0.8571,0.4118,6,,0.8571,18,54,12,-22,,1,0.1667,,0.7059,0.2941,5,5,0.7143,-3.1429,79.2,1.0588,2.5714,-2.2287,3,9,2,,10.6261,10.6261,0.3043,1.8,7.8,4.8,7.8,7.8,7.8,4.8,7.8,7.8,7.8,4.8,7.8,7.8,1,13,,,,
Xavier Worthy,KC,WR,85,Yes,No,No,53,13,No,1,Yes,12,0.9231,0.2453,12,1,0.9231,52,80,12,-28,,3,0.25,,0.2453,0.7547,12,8,0.6154,-2.1538,83.3,0.9811,4,-1.3003,4.3333,6.6667,1,2,22.9098,22.9098,0.1529,5.2,17.2,11.2,17.2,17.2,17.2,11.2,17.2,17.2,17.2,11.2,17.2,17.2,1,14,,,,
Darren Waller,MIA,TE,27,Yes,No,No,20,3,No,1,Yes,3,1,0.15,3,1,1,21,25,1,-4,,1,0.3333,,0.3,0.5,3,1,0.3333,-1.3333,95.8,1.05,7,1.3619,7,8.3333,0.3333,2,4.0901,4.0901,0.1111,2.1,5.1,3.6,5.1,6.6,5.1,3.6,5.1,5.1,5.1,3.6,6.6,5.1,,9,,,0.2,
Pat Freiermuth,PIT,TE,72,No,No,No,48,12,No,,Yes,11,0.9167,0.25,11,,0.9167,75,104,48,-29,,3,0.2727,,0.5417,0.125,9,9,0.75,-2.4167,92.7,1.5625,6.25,0.8682,6.8182,9.4545,4.3636,4,17.8358,17.8358,0.1667,7.5,18.5,13,18.5,24,18.5,13,18.5,18.5,18.5,13,24,18.5,2,17,,,0.3333,
Isiah Pacheco,KC,RB,63,Yes,No,No,30,23,No,,Yes,22,0.9565,0.7667,17,,0.7391,64,107,22,-62,1,1,0.0588,0.9333,,0.0667,12,4,0.1739,-2.6957,90.7,2.1333,2.7826,-3.1175,3.7647,6.2941,1.2941,3,36.297,36.297,0.3651,12.4,29.4,20.9,37.9,29.4,29.4,20.9,29.4,29.4,29.4,20.9,29.4,29.4,4,13,5,0.2174,,
Calvin Austin,PIT,WR,62,No,No,No,45,7,No,1,Yes,7,1,0.1556,6,1,0.8571,36,48,33,-13,,1,0.1667,,0.5556,0.4444,7,7,1,-1.8571,88.1,0.8,5.1429,-0.5482,6,8,5.5,2,10.7728,10.7728,0.1129,3.6,9.6,6.6,9.6,9.6,9.6,6.6,9.6,9.6,9.6,6.6,9.6,9.6,,14,1,0.1429,,
Ronnie Bell,NO,WR,6,No,Yes,No,4,,No,,No,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,
