Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,YardsAirTotal,DropsTotal,AlignmentBackfieldRoutesPercentage,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,TargetedReadFirstTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerTargetYardsOverExpected,AveragesPerTargetDropsTotal,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsInside20ReceivingTargetsTotal,playerStatsGamesPlayed,TargetsContestedTotal,TargetsInEndzone,DeepTargetTargetsTotal,AlignmentInlineRoutesPercentage
Elijah Cooks,JAX,WR,1,No,No,Yes,1,,Yes,Yes,,,,,,,,1,,,,,,,,,,,,2,,,,
Harrison Bryant,LV,TE,27,No,No,Yes,18,1,No,No,,,0.0556,7,,,0.4444,,,,,7,39.6,-7.3078,,1.387,1.387,0.05,,13,,,,0.5556
Tylan Wallace,BLT,WR,27,No,No,Yes,25,1,No,No,,,0.04,8,,,0.32,0.68,1,,,8,39.6,-7.5106,,1.1765,1.1765,0.0435,,17,,,,
Jonnu Smith,MIA,TE,120,No,Yes,No,104,21,No,No,9,0.4286,0.2019,149,5,0.0385,0.5096,0.2212,16,4,0.1905,7.0952,39.6,-7.7255,0.2381,42.5126,42.5126,0.2188,4,17,3,2,2,0.2308
Elijah Higgins,ARZ,TE,40,No,Yes,No,33,3,No,No,1,0.3333,0.0909,24,,0.0303,0.3333,0.0303,2,,,8,39.6,-7.8138,,4.3658,4.3658,0.0968,,17,,,,0.6061
Dan Chisena,CAR,WR,4,No,No,No,4,1,Yes,Yes,,,0.25,2,,,0.25,0.75,1,,,2,39.6,-5.3344,,1.5103,1.5103,0.5,,5,,,,
Adam Thielen,CAR,WR,88,No,No,No,87,9,Yes,Yes,3,0.3333,0.1034,148,3,,0.7586,0.2414,8,1,0.1111,16.4444,39.6,-10.1587,0.3333,23.2492,23.2492,0.1406,2,10,1,2,3,
Josiah Deguara,JAX,TE,9,No,Yes,No,8,,Yes,Yes,,,,,,,0.25,0.375,,,,,,,,,,,,13,,,,0.375
Braelon Allen,NYJ,RB,50,No,Yes,No,33,8,No,No,4,0.5,0.2424,12,4,0.697,0.1212,0.1818,4,2,0.25,1.5,39.6,-6.5087,0.5,11.8804,11.8804,0.1951,,17,,,,
David Moore,CAR,WR,110,No,No,No,106,23,Yes,Yes,9,0.3913,0.217,334,4,,0.2453,0.7547,20,,,14.5217,39.6,-9.5577,0.1739,50.5261,50.5261,0.2706,4,17,6,2,6,
Justin Shorter,LV,TE,3,No,No,No,2,,No,No,,,,,,,0.5,,,,,,,,,,,,,7,,,,0.5
Amon-Ra St. Brown,DET,WR,125,No,Yes,Yes,119,24,No,No,10,0.4167,0.2017,261,2,0.0084,0.5294,0.4622,20,1,0.0417,10.875,39.6,-8.3955,0.0833,44.3201,44.3201,0.2553,7,17,8,5,2,
Isaiah Williams,CIN,WR,2,No,No,No,2,1,No,Yes,,,0.5,8,,,1,,1,,,8,39.6,-7.5106,,1.4748,1.4748,1,,8,,,,
Chris Moore,ARZ,WR,1,No,No,Yes,1,,No,No,,,,,,,,1,,,,,,,,,,,,5,,,,
Tutu Atwell,LA,WR,82,No,No,No,79,17,No,No,10,0.5882,0.2152,264,6,,0.3671,0.6329,12,,,15.5294,39.6,-9.4778,0.3529,34.2009,34.2009,0.25,1,17,6,,3,
Josh Palmer,LAC,WR,120,Yes,No,No,112,21,No,Yes,6,0.2857,0.1875,443,1,,0.3304,0.6696,18,,,21.0952,39.6,-10.7646,0.0476,55.2399,55.2399,0.2308,2,15,6,2,9,
Antonio Gibson,NE,RB,54,No,Yes,No,35,4,No,No,1,0.25,0.1143,55,1,0.7714,0.0571,0.1143,3,1,0.25,13.75,39.6,-9.5693,0.25,6.7362,6.7362,0.1026,,17,,,2,0.0571
