team,week,opp,isHome,isBye,isDome,teamImplied,oppImplied,total,spread
KC,2,IND,true,false,false,26.5,20.5,47,-6
KC,3,MIA,false,false,false,26,18.5,44.5,-7.5
KC,4,LV,false,false,true,24,18.5,42.5,-5.5
KC,5,,,true,,,,,
KC,6,LAC,true,false,false,23.5,21,44.5,-2.5
KC,7,SEA,false,false,false,21,24,45,3
KC,8,DEN,false,false,false,21,21.5,42.5,1
KC,9,NYJ,true,false,false,25.5,16,41.5,-9.5
KC,10,ATL,false,false,true,24.5,20.5,45,-4
KC,11,ARI,true,false,false,29,15.5,45,-13.5
KC,12,BUF,false,false,false,22.5,25.5,48,2.5
KC,13,LAR,false,false,false,22,25.5,48,3.5
KC,14,CIN,false,false,false,23,25,48.5,2
KC,15,NE,true,false,false,23.5,21,44.5,-2.5
KC,16,SF,true,false,false,24.5,22.5,47,-2
KC,17,LAC,false,false,false,21.5,23,44.5,1.5
KC,18,LV,true,false,false,26,16.5,42.5,-9.5
