Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsContestedLabel,TargetsCatchableLabel,AlignmentSlotRoutesPercentage,playerStatsGamesPlayed,AlignmentInlineRoutesPercentage,TargetsTotal,TargetsContestedTotal,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsContested,ReceptionsHero,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,DropsTotal,AlignmentWideRoutesPercentage,TargetedReadFirstTotal,AverageDepthOfTarget,DeepTargetTargetsTotal,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerTargetDropsTotal,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,TargetsInEndzone,playerStatsInside20ReceivingTargetsTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,AlignmentBackfieldRoutesPercentage,TargetedReadDesignTotal,TargetedReadDesignPercentage,TouchdownsTotal,TouchdownsInEndzone
Xavier Legette,CAR,WR,26,No,Yes,Yes,26,No,Yes,0.4615,15,,4,,4,1,0.1538,4,,,1,96,8,2,88,,0.5385,4,22,2,118.8,3.6923,24,14.4963,,24,2,0.5,4,7.0144,7.0144,0.1538,9.6,13.6,11.6,13.6,13.6,13.6,11.6,13.6,13.6,13.6,11.6,13.6,13.6,,,,,,,,,
Jalin Hyatt,NYG,WR,9,Yes,Yes,No,7,Yes,Yes,0.2857,8,,,,,,,,,,,,,,,,0.7143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Njoku,CLV,TE,15,Yes,No,No,14,No,Yes,0.3571,12,0.5,2,,2,1,0.1429,1,,,0.5,-1,1,1,2,1,0.1429,2,1,,56.3,-0.0714,-0.5,-5.9589,0.5,-1,1,1,,2.8609,2.8609,0.1333,-0.1,0.9,0.4,0.9,1.4,0.9,0.4,0.9,0.9,0.9,0.4,1.4,0.9,,,,,,1,0.5,,
Terrance Ferguson,LA,TE,7,No,No,No,7,No,No,0.4286,13,,,,,,,,,,,,,,,,0.5714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brock Bowers,LV,TE,12,No,No,No,12,No,Yes,0.1667,12,0.3333,3,,3,1,0.25,3,,,1,17,11,2,6,,0.5,2,2,,90.3,1.4167,5.6667,-0.2505,,5.6667,3.6667,0.6667,,4.3052,4.3052,0.25,1.7,4.7,3.2,4.7,6.2,4.7,3.2,4.7,4.7,4.7,3.2,6.2,4.7,,,,,,,,,
Brandin Cooks,BUF,WR,16,No,No,No,16,No,Yes,0.1875,15,,,,,,,,,,,,,,,,0.8125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.J. Brown,PHI,WR,27,No,No,No,27,No,Yes,0.037,15,,8,3,8,1,0.2963,7,2,1,0.875,81,20,13,72,,0.963,6,9,1,148.4,3,10.125,2.352,,11.5714,2.8571,1.8571,5,13.7584,13.7584,0.2963,14.1,21.1,17.6,21.1,21.1,21.1,17.6,21.1,21.1,21.1,17.6,21.1,21.1,1,2,,,,,,1,1
Luke McCaffrey,WAS,WR,4,Yes,No,Yes,3,No,Yes,0.3333,9,,2,,2,1,0.6667,2,,,1,49,13,,36,,0.6667,,18,1,158.3,16.3333,24.5,13.6313,,24.5,6.5,,1,3.2344,3.2344,0.5,10.9,12.9,11.9,12.9,12.9,12.9,11.9,12.9,12.9,12.9,11.9,12.9,12.9,,,,,,,,1,
Brock Wright,DET,TE,8,No,No,Yes,3,No,Yes,0.3333,11,0.6667,1,,1,1,0.3333,,,,,,,,-5,1,,1,-5,,39.6,,,-4.3733,1,,,,,1.6816,1.6816,0.125,,,,,,,,,,,,,,,,,,,1,1,,
Samori Toure,NO,WR,1,No,No,No,1,No,Yes,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chig Okonkwo,TEN,TE,17,No,Yes,No,17,Yes,Yes,0.4706,17,0.4118,4,1,4,1,0.2353,3,1,,0.75,30,5,-1,28,1,0.1176,3,7,,56.3,1.7647,7.5,0.0181,0.25,10,1.6667,-0.3333,2,5.9785,5.9785,0.2353,3,6,4.5,6,7.5,6,4.5,6,6,6,4.5,7.5,6,,,,,,,,,
Lucas Krull,DEN,TE,2,No,No,Yes,2,No,Yes,,3,0.5,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyler Johnson,NYJ,WR,5,No,No,No,5,No,Yes,0.2,12,,1,,1,1,0.2,1,,,1,35,13,3,22,,0.8,,22,1,118.8,7,35,23.0759,,35,13,3,1,1.8,1.8,0.2,3.5,4.5,4,4.5,4.5,4.5,4,4.5,4.5,4.5,4,4.5,4.5,,,,,,,,,
Dalevon Campbell,CAR,WR,1,No,No,No,1,No,Yes,,2,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austin Trammell,JAX,WR,2,No,No,No,2,Yes,Yes,0.5,6,,1,1,1,1,0.5,,,,,,,,5,,0.5,1,5,,,,,-6.3628,,,,,,1.4538,1.4538,0.5,,,,,,,,,,,,,,,,,,,,,,
Tony Pollard,TEN,RB,14,No,Yes,No,11,Yes,Yes,,17,,1,,1,1,0.0909,,,,,,,,8,1,0.0909,,8,,39.6,,,-8.5126,1,,,,,1.5918,1.5918,0.0714,,,,,,,,,,,,,,,,,,0.9091,,,,
Drake Dabney,GB,TE,2,Yes,Yes,Yes,1,No,Yes,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ray Davis,BUF,RB,5,Yes,No,No,4,Yes,Yes,,17,,1,,1,1,0.25,1,,,1,14,7,3,7,,,,7,,118.8,3.5,14,6.6359,,14,7,3,1,1.4528,1.4528,0.2,1.4,2.4,1.9,2.9,2.4,2.4,1.9,2.4,2.4,2.4,1.9,2.4,2.4,,,1,1,1,,,,
Ladd McConkey,LAC,WR,25,Yes,Yes,No,24,Yes,Yes,0.5417,16,,5,1,5,1,0.2083,3,,,0.6,21,11,3,24,1,0.4583,5,4.8,,69.6,0.875,4.2,-2.3486,0.2,7,3.6667,1,1,7.4825,7.4825,0.2,2.1,5.1,3.6,5.1,5.1,5.1,3.6,5.1,5.1,5.1,3.6,5.1,5.1,,,1,0.3333,,1,0.2,,
JuJu Smith-Schuster,KC,WR,26,No,No,No,23,Yes,Yes,0.5217,17,,3,,3,1,0.1304,3,,,1,26,9,1,17,,0.4783,3,5.6667,,102.8,1.1304,8.6667,1.3223,,8.6667,3,0.3333,2,8.2377,8.2377,0.1154,2.6,5.6,4.1,5.6,5.6,5.6,4.1,5.6,5.6,5.6,4.1,5.6,5.6,,1,,,,1,0.3333,,
Romeo Doubs,GB,WR,21,No,Yes,No,20,No,Yes,0.2,16,,5,1,5,1,0.25,5,1,,1,108,29,10,79,,0.8,5,15.8,1,118.8,5.4,21.6,12.4404,,21.6,5.8,2,4,8.5914,8.5914,0.2381,10.8,15.8,13.3,15.8,15.8,18.8,16.3,15.8,15.8,15.8,13.3,15.8,15.8,,,,,,,,,
CeeDee Lamb,DAL,WR,19,Yes,No,No,19,No,Yes,0.2105,14,,11,1,11,1,0.5789,10,,1,0.9091,186,56,20,175,,0.7895,7,15.9091,4,118.8,9.7895,16.9091,7.4237,,18.6,5.6,2,7,19.5,19.5,0.5789,18.6,28.6,23.6,28.6,28.6,31.6,26.6,28.6,28.6,28.6,23.6,28.6,28.6,,,,,,1,0.0909,,
Noah Fant,CIN,TE,6,No,Yes,No,6,No,Yes,0.5,15,0.5,1,,1,1,0.1667,1,,,1,9,7,3,2,,,1,2,,104.2,1.5,9,2.6299,,9,7,3,,1.3398,1.3398,0.1667,0.9,1.9,1.4,1.9,2.4,1.9,1.4,1.9,1.9,1.9,1.4,2.4,1.9,,,,,,,,,
James Cook,BUF,RB,13,Yes,No,No,12,Yes,Yes,0.1667,17,,2,,2,1,0.1667,2,,,1,31,23,1,8,,,,4,,118.8,2.5833,15.5,8.6288,,15.5,11.5,0.5,2,2.9157,2.9157,0.1538,3.1,5.1,4.1,6.1,5.1,5.1,4.1,5.1,5.1,5.1,4.1,5.1,5.1,,,,,0.8333,,,,
Treylon Burks,WAS,WR,8,No,Yes,No,7,No,Yes,0.2857,8,,1,,1,1,0.1429,1,,,1,6,2,1,4,,0.5714,1,4,,91.7,0.8571,6,-0.0498,,6,2,1,1,1.3768,1.3768,0.125,0.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,,,,,0.1429,,,,
Isaiah Likely,BLT,TE,22,No,No,No,21,Yes,Yes,0.6667,14,0.2381,5,1,5,1,0.2381,5,1,,1,83,38,1,45,,0.0952,2,9,,118.8,3.9524,16.6,8.7289,,16.6,7.6,0.2,3,7.5407,7.5407,0.2273,7.3,12.3,9.8,12.3,14.8,12.3,8.8,11.3,11.3,11.3,8.8,14.8,11.3,,,1,0.2,,,,,
Dalton Schultz,HST,TE,14,No,No,No,10,No,Yes,0.5,17,0.5,1,,1,1,0.1,1,,,1,11,9,,2,,,1,2,,112.5,1.1,11,4.6299,,11,9,,1,2.3039,2.3039,0.0714,1.1,2.1,1.6,2.1,2.6,2.1,1.6,2.1,2.1,2.1,1.6,2.6,2.1,,1,,,,,,,
George Kittle,SF,TE,11,No,No,No,10,No,Yes,0.4,11,0.5,3,1,3,1,0.3,3,1,1,1,47,10,4,37,,0.1,2,12.3333,1,118.8,4.7,15.6667,6.465,,15.6667,3.3333,1.3333,2,4.8696,4.8696,0.2727,4.7,7.7,6.2,7.7,9.2,7.7,6.2,7.7,7.7,7.7,6.2,9.2,7.7,,,,,,1,0.3333,,
DJ Giddens,IND,RB,1,No,No,No,1,No,Yes,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Chris Rodriguez,WAS,RB,2,No,Yes,No,1,No,Yes,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Keenan Allen,LAC,WR,20,Yes,No,No,20,No,Yes,0.3,17,,6,2,6,1,0.3,4,1,,0.6667,44,8,5,66,1,0.7,3,11,1,88.2,2.2,7.3333,-0.9982,0.1667,11,2,1.25,4,9.3998,9.3998,0.3,4.4,8.4,6.4,8.4,8.4,8.4,6.4,8.4,8.4,8.4,6.4,8.4,8.4,,,,,,,,,
Olamide Zaccheaus,CHI,WR,19,No,No,No,18,No,No,0.6111,16,,5,1,5,1,0.2778,5,1,,1,36,9,3,27,,0.3889,3,5.4,,96.7,2,7.2,0.6422,,7.2,1.8,0.6,2,7.4737,7.4737,0.2632,3.6,8.6,6.1,8.6,8.6,8.6,6.1,8.6,8.6,8.6,6.1,8.6,8.6,,1,,,,,,,
Alec Pierce,IND,WR,23,No,No,No,23,No,Yes,0.2174,15,,6,5,6,1,0.2609,1,,,0.1667,26,8,5,123,,0.7826,5,20.5,2,45.1,1.1304,4.3333,-6.0721,,26,8,5,1,13.2911,13.2911,0.2609,2.6,3.6,3.1,3.6,3.6,3.6,3.1,3.6,3.6,3.6,3.1,3.6,3.6,1,1,,,,,,,
Jalen Tolbert,DAL,WR,10,Yes,No,No,9,No,Yes,0.6667,13,,,,,,,,,,,,,,,,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drake London,ATL,WR,14,No,No,No,13,No,Yes,0.2308,12,,2,,2,1,0.1538,2,,,1,28,16,5,12,,0.7692,2,6,,118.8,2.1538,14,7.2863,,14,8,2.5,2,3.0783,3.0783,0.1429,2.8,4.8,3.8,4.8,4.8,4.8,3.8,4.8,4.8,4.8,3.8,4.8,4.8,,,,,,,,,
Jaylin Lane,WAS,WR,9,No,No,No,9,No,Yes,0.5556,15,,3,1,3,1,0.3333,2,1,,0.6667,29,,,45,1,0.4444,3,15,,97.9,3.2222,9.6667,-0.6022,0.3333,14.5,,,2,4.6672,4.6672,0.3333,2.9,4.9,3.9,4.9,4.9,4.9,3.9,4.9,4.9,4.9,3.9,4.9,4.9,,,,,,,,,
Bo Melton,GB,WR,4,Yes,Yes,Yes,4,No,Yes,0.75,9,,1,,1,1,0.25,1,,,1,45,1,,44,,0.25,1,44,1,158.3,11.25,45,30,,45,1,,1,3.3795,3.3795,0.25,10.5,11.5,11,11.5,11.5,11.5,11,11.5,11.5,11.5,11,11.5,11.5,,,,,,,,1,
Raheim Sanders,CLV,RB,1,No,Yes,No,1,No,Yes,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Tyler Warren,IND,TE,27,No,No,No,26,No,Yes,0.6154,17,0.2308,8,4,8,1,0.3077,4,,,0.5,40,27,8,39,,0.1538,6,4.875,,64.6,1.5385,5,-1.6582,,10,6.75,2,2,15.128,15.128,0.2963,4,8,6,8,10,8,6,8,8,8,6,10,8,,2,,,,,,,
Jaxon Smith-Njigba,SEA,WR,18,No,No,No,18,No,Yes,0.2222,17,,6,2,6,1,0.3333,4,,,0.6667,56,14,3,91,,0.7778,6,15.1667,2,96.5,3.1111,9.3333,-0.1605,,14,3.5,0.75,2,11.1803,11.1803,0.3333,5.6,9.6,7.6,9.6,9.6,9.6,7.6,9.6,9.6,9.6,7.6,9.6,9.6,1,,,,,,,,
Sam LaPorta,DET,TE,11,Yes,No,No,8,No,Yes,0.375,9,0.375,4,,4,1,0.5,3,,,0.75,42,31,11,14,1,0.125,2,3.5,,108.3,5.25,10.5,3.911,0.25,14,10.3333,3.6667,1,7.3102,7.3102,0.3636,4.2,7.2,5.7,7.2,8.7,7.2,5.7,7.2,7.2,7.2,5.7,8.7,7.2,,1,1,0.3333,0.125,,,,
Phil Mafah,DAL,RB,1,Yes,No,No,1,No,Yes,,1,,1,,1,1,1,1,,,1,10,16,4,-6,,,1,-6,,108.3,10,10,4.9107,,10,16,4,1,0.9524,0.9524,1,1,2,1.5,2.5,2,2,1.5,2,2,2,1.5,2,2,,,1,1,1,1,1,,
Jackson Hawes,BUF,TE,4,Yes,No,No,3,Yes,Yes,,17,1,1,,1,1,0.3333,1,,,1,18,6,3,12,,,,12,,118.8,6,18,9.3339,,18,6,3,1,1.8084,1.8084,0.25,1.8,2.8,2.3,2.8,3.3,2.8,2.3,2.8,2.8,2.8,2.3,3.3,2.8,,,,,,,,,
Dee Eskridge,MIA,WR,1,No,Yes,No,1,Yes,Yes,1,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AJ Dillon,PHI,RB,1,No,Yes,No,1,No,Yes,,7,,1,,1,1,1,1,,,1,11,8,4,3,,,,3,,112.5,11,11,4.4906,,11,8,4,,1.5418,1.5418,1,0.1,1.1,0.6,1.6,1.1,1.1,-0.4,0.1,0.1,0.1,-0.4,1.1,0.1,,,1,1,1,,,,
Christian McCaffrey,SF,RB,28,No,No,No,21,No,Yes,0.0952,17,,5,1,5,1,0.2381,2,,,0.4,28,26,15,7,2,0.0476,2,1.4,,19.2,1.3333,5.6,-0.8459,0.4,14,13,7.5,2,11.1821,11.1821,0.1786,2.8,4.8,3.8,5.8,4.8,4.8,3.8,4.8,4.8,4.8,3.8,4.8,4.8,,2,1,0.5,0.8571,1,0.2,,
Ross Dwelley,DET,TE,1,No,Yes,No,1,No,Yes,,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tez Johnson,TB,WR,11,No,Yes,Yes,11,No,Yes,0.2727,16,,1,,1,1,0.0909,1,,,1,8,7,,1,,0.7273,1,1,,100,0.7273,8,2.8789,,8,7,,,1.4292,1.4292,0.0909,0.8,1.8,1.3,1.8,1.8,1.8,1.3,1.8,1.8,1.8,1.3,1.8,1.8,,,,,,,,,
Khalil Shakir,BUF,WR,18,No,No,No,18,No,Yes,0.7222,16,,4,1,4,1,0.2222,3,1,1,0.75,59,14,5,48,1,0.2778,3,12,1,116.7,3.2778,14.75,7.0447,0.25,19.6667,4.6667,1.6667,1,8.8022,8.8022,0.2222,5.9,8.9,7.4,8.9,8.9,8.9,7.4,8.9,8.9,8.9,7.4,8.9,8.9,,2,,,,,,,
Sterling Shepard,TB,WR,15,No,No,No,15,Yes,Yes,0.4667,13,,4,1,4,1,0.2667,4,1,,1,30,5,2,25,,0.5333,3,6.25,,97.9,2,7.5,0.6593,,7.5,1.25,0.5,1,5.9294,5.9294,0.2667,3,7,5,7,7,7,5,7,7,7,5,7,7,,,,,,,,,
Mitchell Tinsley,CIN,WR,6,No,Yes,No,6,No,Yes,0.1667,17,,1,1,1,1,0.1667,1,1,,1,27,3,3,24,,0.8333,1,24,1,118.8,4.5,27,15.2471,,27,3,3,1,2.6511,2.6511,0.1667,2.7,3.7,3.2,3.7,3.7,3.7,3.2,3.7,3.7,3.7,3.2,3.7,3.7,,,,,,,,,
Brycen Tremayne,CAR,WR,9,No,Yes,Yes,9,No,Yes,0.4444,16,,4,1,4,1,0.4444,3,1,1,0.75,42,17,1,41,,0.5556,3,10.25,,108.3,4.6667,10.5,2.4561,,14,5.6667,0.3333,2,7.9919,7.9919,0.4444,4.2,7.2,5.7,7.2,7.2,7.2,5.7,7.2,7.2,7.2,5.7,7.2,7.2,,,,,,,,,
Jeremy McNichols,WAS,RB,13,No,Yes,No,10,No,Yes,0.3,17,,3,,3,1,0.3,3,,,1,43,33,21,10,,,1,3.3333,,118.8,4.3,14.3333,7.6082,,14.3333,11,7,3,4.7317,4.7317,0.2308,4.3,7.3,5.8,8.8,7.3,7.3,5.8,7.3,7.3,7.3,5.8,7.3,7.3,,,3,1,0.7,,,,
Jerome Ford,CLV,RB,10,Yes,No,No,9,No,Yes,,13,0.1111,2,,2,1,0.2222,1,,,0.5,2,1,1,2,1,,1,1,,56.3,0.2222,1,-4.7294,0.5,2,1,1,,2.8325,2.8325,0.2,0.2,1.2,0.7,1.7,1.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,,,,,0.8889,,,,
George Pickens,DAL,WR,22,Yes,No,No,21,No,Yes,0.0952,17,,4,3,4,1,0.1905,3,2,,0.75,39,11,8,34,,0.9048,4,8.5,,105.2,1.8571,9.75,2.0144,,13,3.6667,2.6667,3,7.3465,7.3465,0.1818,3.9,6.9,5.4,6.9,6.9,6.9,5.4,6.9,6.9,6.9,5.4,6.9,6.9,,,1,0.3333,,,,,
Rico Dowdle,CAR,RB,18,No,Yes,Yes,13,No,Yes,0.1538,17,,3,1,3,1,0.2308,2,,,0.6667,21,26,1,-11,1,0.3077,1,-3.6667,,86.8,1.6154,7,1.5073,0.3333,10.5,13,0.5,1,3.9917,3.9917,0.1667,2.1,4.1,3.1,5.1,4.1,4.1,3.1,4.1,4.1,4.1,3.1,4.1,4.1,,,,,0.5385,,,,
Ricky Pearsall,SF,WR,17,No,No,No,17,No,No,0.2353,9,,5,1,5,1,0.2941,5,1,2,1,81,10,8,71,,0.7647,5,14.2,1,118.8,4.7647,16.2,6.8387,,16.2,2,1.6,4,9.1932,9.1932,0.2941,8.1,13.1,10.6,13.1,13.1,13.1,10.6,13.1,13.1,13.1,10.6,13.1,13.1,,,,,,,,,
Chris Olave,NO,WR,25,No,Yes,No,24,No,Yes,0.4167,16,,5,,5,1,0.2083,3,,,0.6,24,1,-1,51,2,0.5833,4,10.2,1,72.1,1,4.8,-3.4198,0.4,8,0.3333,-0.3333,1,8.4469,8.4469,0.2,2.4,5.4,3.9,5.4,5.4,5.4,3.9,5.4,5.4,5.4,3.9,5.4,5.4,1,,,,,,,,
Rashod Bateman,BLT,WR,25,No,Yes,No,25,No,Yes,0.12,13,,2,1,2,1,0.08,1,,,0.5,10,6,4,15,,0.88,2,7.5,,64.6,0.4,5,-2.1825,,10,6,4,1,3.2713,3.2713,0.08,1,2,1.5,2,2,2,1.5,2,2,2,1.5,2,2,,1,,,,,,,
Grant Calcaterra,PHI,TE,6,No,Yes,No,5,No,Yes,0.6,15,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stephen Carlson,CHI,TE,1,No,No,Yes,1,No,Yes,,2,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josh Jacobs,GB,RB,17,No,Yes,No,9,No,Yes,,15,,1,,1,1,0.1111,1,,,1,1,7,,-6,,,,-6,,79.2,0.1111,1,-4.0893,,1,7,,,1.3783,1.3783,0.0588,0.1,1.1,0.6,1.6,1.1,1.1,0.6,1.1,1.1,1.1,0.6,1.1,1.1,,,,,1,,,,
Cade Stover,HST,TE,1,No,No,No,1,No,Yes,,9,1,1,,1,1,1,,,,,,,,5,1,,1,5,,39.6,,,-6.48,1,,,,,1.5936,1.5936,1,,,,,,,,,,,,,,,,,,,,,,
Tee Higgins,CIN,WR,17,No,Yes,No,16,No,Yes,0.1875,15,,3,1,3,1,0.1875,2,1,,0.6667,28,6,4,40,1,0.8125,1,13.3333,,96.5,1.75,9.3333,0.185,0.3333,14,3,2,2,4.5806,4.5806,0.1765,2.8,4.8,3.8,4.8,4.8,4.8,3.8,4.8,4.8,4.8,3.8,4.8,4.8,,,,,,,,,
Scott Miller,PIT,WR,3,No,No,No,3,Yes,Yes,0.6667,13,,1,,1,1,0.3333,1,,,1,7,1,,6,,0.3333,1,6,,95.8,2.3333,7,0.0509,,7,1,,1,1.2409,1.2409,0.3333,0.7,1.7,1.2,1.7,1.7,1.7,1.2,1.7,1.7,1.7,1.2,1.7,1.7,,,,,,,,,
Jaylen Waddle,MIA,WR,13,No,No,No,13,Yes,Yes,0.2308,16,,4,1,4,1,0.3077,2,,1,0.5,52,10,1,64,2,0.7692,3,16,1,95.8,4,13,3.4567,0.5,26,5,0.5,1,5.5391,5.5391,0.3077,5.2,7.2,6.2,7.2,7.2,7.2,6.2,7.2,7.2,7.2,6.2,7.2,7.2,,,,,,,,,
Ryan Flournoy,DAL,WR,7,Yes,No,No,7,No,Yes,0.2857,15,,,,,,,,,,,,,,,,0.7143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deebo Samuel,WAS,WR,25,No,Yes,No,25,No,Yes,0.56,16,,12,3,12,1,0.48,11,3,,0.9167,112,33,10,90,1,0.4,10,7.5,1,105.6,4.48,9.3333,1.4614,0.0833,10.1818,3,0.9091,6,21.1681,21.1681,0.48,11.2,22.2,16.7,22.2,22.2,25.2,19.7,22.2,22.2,22.2,16.7,22.2,22.2,,,,,0.04,4,0.3333,,
Mike Gesicki,CIN,TE,8,No,Yes,No,8,No,Yes,0.875,13,,1,1,1,1,0.125,1,1,1,1,14,,,14,,0.125,1,14,,118.8,1.75,14,3.7183,,14,,,1,1.5917,1.5917,0.125,1.4,2.4,1.9,2.4,2.9,2.4,1.9,2.4,2.4,2.4,1.9,2.9,2.4,,,,,,,,,
Ben Skowronek,PIT,WR,3,No,No,No,3,Yes,Yes,0.6667,16,,,,,,,,,,,,,,,,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beaux Collins,NYG,WR,2,No,No,No,2,Yes,Yes,,9,,1,,1,1,0.5,1,,,1,7,2,1,5,,1,1,5,,95.8,3.5,7,0.6372,,7,2,1,,1.3568,1.3568,0.5,0.7,1.7,1.2,1.7,1.7,1.7,1.2,1.7,1.7,1.7,1.2,1.7,1.7,,,,,,,,,
Jake Tonges,SF,TE,14,No,No,No,13,No,No,0.0769,16,0.8462,1,,1,1,0.0769,1,,,1,10,2,,8,,0.0769,1,8,,108.3,0.7692,10,2.2795,,10,2,,1,1.8696,1.8696,0.0714,1,2,1.5,2,2.5,2,1.5,2,2,2,1.5,2.5,2,,,,,,,,,
Trey Benson,ARZ,RB,5,No,No,No,5,No,Yes,,4,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,
Roman Wilson,PIT,WR,5,Yes,No,No,5,Yes,Yes,,13,,1,,1,1,0.2,1,,,1,12,7,3,5,,1,1,5,,116.7,2.4,12,5.6372,,12,7,3,1,1.5535,1.5535,0.2,1.2,2.2,1.7,2.2,2.2,2.2,1.7,2.2,2.2,2.2,1.7,2.2,2.2,,,,,,,,,
Julius Chestnut,TEN,RB,1,No,Yes,No,1,Yes,Yes,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Wan'Dale Robinson,NYG,WR,29,No,Yes,No,29,No,Yes,0.6897,16,,12,2,12,1,0.4138,8,,,0.6667,66,30,17,54,2,0.2759,10,4.5,1,80.6,2.2759,5.5,-0.9962,0.1667,8.25,3.75,2.125,2,17.8599,17.8599,0.4138,6.6,14.6,10.6,14.6,14.6,14.6,10.6,14.6,14.6,14.6,10.6,14.6,14.6,,2,3,0.375,0.0345,3,0.25,,
