Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsInEndzone,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,AlignmentBackfieldRoutesPercentage,TargetedReadFirstTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsInside20ReceivingTargetsTotal,playerStatsGamesPlayed,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,TargetsContestedTotal,ReceptionsContested,AlignmentInlineRoutesPercentage,TouchdownsTotal,DropsTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,AveragesPerTargetDropsTotal,TouchdownsInEndzone,ReceptionsHero,DeepTargetTargetsTotal
Michael Pittman,IND,WR,63,No,Yes,Yes,61,20,No,No,17,0.85,,0.3279,14,0.7,218,60,32,232,,18,,,11.6,85,3.5738,10.9,2.1238,15.5714,4.2857,2.2857,10,32.3164,32.3164,0.3333,21.8,35.8,28.8,35.8,35.8,38.8,31.8,35.8,35.8,35.8,28.8,35.8,35.8,1,16,0.2787,0.7213,4,1,,,,,,,,,
Malik Washington,MIA,WR,44,No,No,No,36,5,No,Yes,5,1,,0.1389,3,0.6,17,3,1,25,,5,,,5,66.3,0.4722,3.4,-3.0414,5.6667,1,0.3333,,7.1517,7.1517,0.119,1.7,4.7,3.2,4.7,4.7,4.7,3.2,4.7,4.7,4.7,3.2,4.7,4.7,,14,0.6111,0.3889,1,,,,1,,,0.2,,,
MyCole Pruitt,PIT,TE,4,No,No,No,4,3,No,Yes,2,0.6667,1,0.75,2,0.6667,19,5,4,30,,3,,,10,123.6,4.75,6.3333,-1.9817,9.5,2.5,2,2,8.4272,8.4272,0.75,7.9,9.9,8.9,9.9,10.9,9.9,8.9,9.9,9.9,9.9,8.9,10.9,9.9,1,12,,,,,1,1,,,,,1,,
DK Metcalf,SEA,WR,99,No,No,No,89,15,Yes,Yes,11,0.7333,,0.1685,10,0.6667,116,65,14,109,,12,2,0.1333,7.2667,89.9,1.3034,7.7333,0.4845,11.6,6.5,1.4,1,23.0563,23.0563,0.1613,11.6,21.6,16.6,21.6,21.6,24.6,19.6,21.6,21.6,21.6,16.6,21.6,21.6,,15,0.1573,0.8427,2,1,,,1,1,0.1,0.0667,,,
Mark Andrews,BLT,TE,65,No,No,Yes,56,15,No,No,15,1,4,0.2679,14,0.9333,150,41,13,140,0.0179,9,,,9.3333,147.9,2.6786,10,1.7063,10.7143,2.9286,0.9286,12,27.5004,27.5004,0.25,45,59,52,59,66,62,55,59,59,59,52,66,59,5,17,0.6607,0.1071,3,2,0.2143,5,1,2,0.1429,0.0667,4,,1
Parker Washington,JAX,WR,52,No,Yes,Yes,50,6,No,No,6,1,2,0.12,5,0.8333,53,32,26,46,,4,,,7.6667,143.1,1.06,8.8333,1.6104,10.6,6.4,5.2,4,13.4468,13.4468,0.1277,11.3,16.3,13.8,16.3,16.3,16.3,13.8,16.3,16.3,16.3,13.8,16.3,16.3,2,17,0.4,0.6,1,,,1,,1,0.2,,1,,
Allen Robinson,DET,WR,8,No,Yes,Yes,8,1,No,Yes,1,1,,0.125,,,,,,7,,,,,7,39.6,,,-7.0645,,,,,1.7121,1.7121,0.125,,,,,,,,,,,,,,,12,0.375,0.625,1,,,,,,,,,,
Erick All,CIN,TE,22,No,Yes,No,18,4,No,Yes,4,1,,0.2222,4,1,22,18,9,4,0.1111,1,,,1,89.6,1.2222,5.5,-0.3295,5.5,4.5,2.25,1,5.7304,5.7304,0.2,2.2,6.2,4.2,6.2,8.2,6.2,4.2,6.2,6.2,6.2,4.2,8.2,6.2,1,9,0.1667,0.1667,,,0.5556,,,,,,,,
Braxton Berrios,MIA,WR,8,No,No,No,7,1,No,Yes,1,1,,0.1429,,,,,,8,,1,,,8,39.6,,,-7.5106,,,,,2.0058,2.0058,0.125,,,,,,,,,,,,,,,6,0.7143,0.2857,1,,,,,,,,,,
Diontae Johnson,HST,WR,40,No,No,Yes,39,10,No,Yes,7,0.7,2,0.2564,7,0.7,101,54,25,73,,10,,,7.3,96.2,2.5897,10.1,2.9213,14.4286,7.7143,3.5714,6,20.0392,20.0392,0.2632,16.1,23.1,19.6,23.1,23.1,26.1,22.6,23.1,23.1,23.1,19.6,23.1,23.1,2,12,0.2821,0.7179,1,1,,1,,3,0.4286,,1,,
Kendre Miller,NO,RB,12,No,No,No,9,3,No,No,2,0.6667,,0.3333,1,0.3333,6,3,1,7,0.7778,,,,2.3333,42.4,0.6667,2,-4.4329,6,3,1,,4.0488,4.0488,0.25,0.6,1.6,1.1,2.1,1.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,,6,0.1111,0.1111,,,,,1,,,0.3333,,,
Pierre Strong,CLV,RB,19,No,No,No,17,4,No,Yes,4,1,,0.2353,2,0.5,23,26,13,6,0.6471,3,2,0.5,1.5,67.7,1.3529,5.75,-0.8088,11.5,13,6.5,1,6.2955,6.2955,0.2222,2.3,4.3,3.3,5.3,4.3,4.3,3.3,4.3,4.3,4.3,3.3,4.3,4.3,,13,0.0588,0.1176,1,,0.1765,,1,1,0.5,0.25,,,
Jacob Kibodi,CLV,RB,2,No,No,Yes,2,2,No,No,,,,1,,,,,,6,1,,,,3,,,,-6.5094,,,,,2.661,2.661,1,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,
Dameon Pierce,HST,RB,7,No,No,Yes,4,,No,Yes,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,0.25,0.25,,,,,,,,,,,
Blake Corum,LA,RB,5,No,No,No,4,2,Yes,Yes,2,1,,0.5,2,1,19,13,2,6,1,,,,3,106.3,4.75,9.5,2.9906,9.5,6.5,1,1,2.8987,2.8987,0.4,1.9,3.9,2.9,4.9,3.9,3.9,2.9,3.9,3.9,3.9,2.9,3.9,3.9,,15,,,,,,,,,,,,,
Julian Hill,MIA,TE,34,No,No,No,24,7,No,Yes,6,0.8571,,0.2917,5,0.7143,44,30,13,24,0.0417,4,1,0.1429,3.4286,87.8,1.8333,6.2857,-0.1219,8.8,6,2.6,3,11.3754,11.3754,0.2188,4.4,9.4,6.9,9.4,11.9,9.4,6.9,9.4,9.4,9.4,6.9,11.9,9.4,2,16,0.0833,0.0833,,,0.7917,,1,1,0.2,0.1429,,,
Rakim Jarrett,TB,WR,10,No,No,Yes,8,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,0.75,0.25,,,,,,,,,,,
Tyquan Thornton,NE,WR,14,No,No,No,13,3,No,Yes,2,0.6667,,0.2308,2,0.6667,24,15,13,28,,3,,,9.3333,51.4,1.8462,8,-0.1879,12,7.5,6.5,1,4.8959,4.8959,0.25,2.4,4.4,3.4,4.4,4.4,4.4,3.4,4.4,4.4,4.4,3.4,4.4,4.4,1,5,,1,,,,,,1,0.5,,,,
Breece Hall,NYJ,RB,67,No,No,No,56,16,No,Yes,14,0.875,,0.2857,12,0.75,139,123,24,14,0.8036,6,4,0.25,0.875,121.6,2.4821,8.6875,2.4665,11.5833,10.25,2,2,26.0072,26.0072,0.2462,19.9,31.9,25.9,37.9,31.9,34.9,28.9,31.9,31.9,31.9,25.9,31.9,31.9,1,16,0.0536,0.1071,,,0.0357,1,2,4,0.3333,0.125,,,
Trent Sherfield,MIN,WR,10,No,No,No,7,2,Yes,Yes,1,0.5,,0.2857,1,0.5,11,5,2,22,,2,,,11,27.1,1.5714,5.5,-3.0222,11,5,2,,3.0977,3.0977,0.2222,1.1,2.1,1.6,2.1,2.1,2.1,1.6,2.1,2.1,2.1,1.6,2.1,2.1,,17,0.7143,0.2857,,,,,,,,,,,
Alexander Mattison,LV,RB,42,No,No,Yes,36,9,No,No,8,0.8889,,0.25,7,0.7778,62,51,16,15,0.8889,1,1,0.1111,1.6667,95.4,1.7222,6.8889,0.6217,8.8571,7.2857,2.2857,2,12.6332,12.6332,0.2308,6.2,13.2,9.7,16.7,13.2,13.2,9.7,13.2,13.2,13.2,9.7,13.2,13.2,,14,,0.1111,,,,,1,1,0.1429,0.1111,,,
Cade Otton,TB,TE,72,No,No,No,64,18,No,Yes,17,0.9444,2,0.2812,13,0.7222,115,55,25,107,,11,3,0.1667,5.9444,107.4,1.7969,6.3889,-0.6247,8.8462,4.2308,1.9231,6,32.565,32.565,0.2535,17.5,30.5,24,30.5,37,33.5,27,30.5,30.5,30.5,24,37,30.5,5,14,0.3125,0.2188,4,2,0.4688,1,1,1,0.0769,0.0556,1,,
James Mitchell,DET,TE,1,No,No,No,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,
Sione Vaki,DET,RB,3,No,Yes,Yes,3,2,No,Yes,2,1,,0.6667,2,1,25,5,3,20,1,1,1,0.5,10,118.8,8.3333,12.5,4.4989,12.5,2.5,1.5,1,3.0911,3.0911,0.6667,2.5,4.5,3.5,5.5,4.5,4.5,3.5,4.5,4.5,4.5,3.5,4.5,4.5,,11,,,,,,,,,,,,,
Raheem Blackshear,CAR,RB,5,No,No,No,5,,No,Yes,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,0.6,,,,,,,,,,,
Jha'Quan Jackson,TEN,WR,2,No,Yes,No,2,1,No,Yes,1,1,,0.5,1,1,8,3,,5,,1,,,5,100,4,8,1.6372,8,3,,1,1.603,1.603,0.5,0.8,1.8,1.3,1.8,1.8,1.8,1.3,1.8,1.8,1.8,1.3,1.8,1.8,,12,1,,,,,,,,,,,,
Demario Douglas,NE,WR,74,Yes,No,Yes,73,19,No,Yes,17,0.8947,,0.2603,14,0.7368,205,96,30,157,,17,1,0.0526,8.2632,126,2.8082,10.7895,3.3776,14.6429,6.8571,2.1429,10,32.5739,32.5739,0.2836,26.5,40.5,33.5,40.5,40.5,43.5,36.5,40.5,40.5,40.5,33.5,40.5,40.5,1,17,0.8493,0.1507,,,,1,3,,,0.1579,,1,
Malik Nabers,NYG,WR,95,No,Yes,No,88,26,No,No,23,0.8846,3,0.2955,20,0.7692,217,129,42,137,,24,5,0.1923,5.2692,126.6,2.4659,8.3462,1.6576,10.85,6.45,2.1,10,44.2085,44.2085,0.2989,33.7,53.7,43.7,53.7,53.7,56.7,46.7,53.7,53.7,53.7,43.7,53.7,53.7,5,15,0.3068,0.6932,1,,,2,3,2,0.1,0.1154,2,,
Tank Dell,HST,WR,60,No,Yes,No,59,6,No,Yes,5,0.8333,,0.1017,5,0.8333,75,18,9,67,,6,,,11.1667,118.8,1.2712,12.5,4.1207,15,3.6,1.8,5,14.1865,14.1865,0.1053,7.5,12.5,10,12.5,12.5,12.5,10,12.5,12.5,12.5,10,12.5,12.5,,14,0.2203,0.7797,1,1,,,,1,0.2,,,,
Xavier Weaver,ARZ,WR,7,No,No,No,7,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.2857,0.7143,,,,,,,,,,,
Gus Edwards,LAC,RB,10,No,No,No,7,,No,Yes,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,
Taysom Hill,NO,TE,30,No,Yes,Yes,27,9,No,Yes,8,0.8889,,0.3333,6,0.6667,49,30,10,29,0.1111,8,1,0.1111,3.2222,80.3,1.8148,5.4444,-0.9717,8.1667,5,1.6667,4,14.3703,14.3703,0.3214,4.9,10.9,7.9,10.9,13.9,10.9,7.9,10.9,10.9,10.9,7.9,13.9,10.9,,8,0.5926,0.1481,1,,0.1481,,1,1,0.1667,0.1111,,,
Brian Robinson,WAS,RB,44,No,No,Yes,31,7,Yes,Yes,6,0.8571,,0.2258,5,0.7143,41,23,8,15,0.8065,1,1,0.1429,2.1429,46.4,1.3226,5.8571,-0.727,8.2,4.6,1.6,2,10.6849,10.6849,0.1707,4.1,9.1,6.6,11.6,9.1,9.1,6.6,9.1,9.1,9.1,6.6,9.1,9.1,,14,0.1613,0.0323,1,,,,1,1,0.2,0.1429,,,
Alvin Kamara,NO,RB,62,No,No,No,59,23,Yes,Yes,22,0.9565,,0.3898,19,0.8261,185,158,30,33,0.8305,9,4,0.1739,1.4348,100.2,3.1356,8.0435,1.7674,9.7368,8.3158,1.5789,8,34.9476,34.9476,0.4035,18.5,37.5,28,47,37.5,40.5,31,37.5,37.5,37.5,28,37.5,37.5,2,14,0.1525,0.0169,,,,,3,5,0.2632,0.1304,,,
Tucker Fisk,LAC,TE,15,No,No,Yes,9,3,No,No,3,1,1,0.3333,2,0.6667,18,9,3,18,,1,,,6,82.6,2,6,-0.6021,9,4.5,1.5,1,6.8026,6.8026,0.2143,1.8,3.8,2.8,3.8,4.8,3.8,2.8,3.8,3.8,3.8,2.8,4.8,3.8,1,9,0.1111,,1,,0.8889,,,1,0.5,,,,
Justyn Ross,KC,WR,3,Yes,No,No,3,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.3333,0.6667,,,,,,,,,,,
Eric Saubert,SF,TE,31,No,No,No,24,4,Yes,Yes,3,0.75,2,0.1667,3,0.75,20,6,1,28,,2,,,7,125,0.8333,5,-2.0887,6.6667,2,0.3333,2,8.5588,8.5588,0.129,8,11,9.5,11,12.5,11,9.5,11,11,11,9.5,12.5,11,2,17,0.3333,0.125,,,0.5417,1,,,,,1,,
Ray-Ray McCloud,ATL,WR,96,No,No,No,93,25,No,Yes,22,0.88,1,0.2688,17,0.68,253,97,37,222,,11,1,0.04,8.88,84.2,2.7204,10.12,2.3065,14.8824,5.7059,2.1765,15,42.3821,42.3821,0.2907,25.3,42.3,33.8,42.3,42.3,45.3,36.8,42.3,42.3,42.3,33.8,42.3,42.3,1,17,0.4194,0.5806,6,2,,,1,1,0.0588,0.04,,,
Jalen McMillan,TB,WR,63,No,No,Yes,59,6,No,Yes,4,0.6667,1,0.1017,3,0.5,18,1,,52,0.0339,5,1,0.1667,8.6667,56.3,0.3051,3,-5.0177,6,0.3333,,2,10.225,10.225,0.0968,7.8,10.8,9.3,10.8,10.8,10.8,9.3,10.8,10.8,10.8,9.3,10.8,10.8,1,13,0.3051,0.661,,,,1,1,,,0.1667,1,,
E.J. Jenkins,PHI,TE,8,No,Yes,No,7,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,0.2857,,,,0.7143,,,,,,,,
Jahan Dotson,PHI,WR,43,No,Yes,No,43,3,No,No,2,0.6667,,0.0698,2,0.6667,32,14,4,22,,3,,,7.3333,102.1,0.7442,10.6667,3.5576,16,7,2,2,4.1457,4.1457,0.0732,3.2,5.2,4.2,5.2,5.2,5.2,4.2,5.2,5.2,5.2,4.2,5.2,5.2,,17,0.2093,0.7674,,,0.0233,,,,,,,,
DeVonta Smith,PHI,WR,37,Yes,No,No,35,10,No,Yes,9,0.9,3,0.2857,8,0.8,75,24,16,83,,10,,,8.3,97.9,2.1429,7.5,-0.1484,9.375,3,2,6,20.5904,20.5904,0.2778,19.5,27.5,23.5,27.5,27.5,27.5,23.5,27.5,27.5,27.5,23.5,27.5,27.5,3,13,0.5714,0.4286,2,2,,2,1,1,0.125,0.1,2,,
D'Ernest Johnson,JAX,RB,23,No,Yes,Yes,20,4,No,No,4,1,,0.2,3,0.75,52,38,20,16,1,1,,,4,116.7,2.6,13,6.1194,17.3333,12.6667,6.6667,2,5.5368,5.5368,0.1905,5.2,8.2,6.7,9.7,8.2,8.2,6.7,8.2,8.2,8.2,6.7,8.2,8.2,,13,,,1,,,,,1,0.3333,,,,
Theo Johnson,NYG,TE,62,No,No,Yes,51,12,No,Yes,10,0.8333,,0.2353,9,0.75,102,42,23,98,,8,1,0.0833,8.1667,100,2,8.5,0.7291,11.3333,4.6667,2.5556,6,21.5584,21.5584,0.2182,10.2,19.2,14.7,19.2,23.7,22.2,17.7,19.2,19.2,19.2,14.7,23.7,19.2,,12,0.4706,0.1176,,,0.4118,,1,2,0.2222,0.0833,,,
Trenton Irwin,CIN,WR,10,No,No,Yes,10,2,No,Yes,1,0.5,1,0.2,1,0.5,6,4,1,7,,1,,,3.5,56.3,0.6,3,-2.8486,6,4,1,1,6.3746,6.3746,0.2222,0.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,1,7,0.6,0.4,,,,,,,,,,,
Eric Gray,NYG,RB,12,No,Yes,No,9,1,No,No,1,1,,0.1111,1,1,13,11,3,2,0.7778,1,,,2,118.8,1.4444,13,6.6053,13,11,3,1,1.3189,1.3189,0.1,1.3,2.3,1.8,2.8,2.3,2.3,1.8,2.3,2.3,2.3,1.8,2.3,2.3,1,16,,0.2222,,,,,,,,,,,
Jameson Williams,DET,WR,122,No,No,No,118,18,Yes,Yes,16,0.8889,,0.1525,13,0.7222,193,71,26,163,,15,,,9.0556,106.9,1.6356,10.7222,2.928,14.8462,5.4615,2,10,26.815,26.815,0.1593,19.3,32.3,25.8,32.3,32.3,35.3,28.8,32.3,32.3,32.3,25.8,32.3,32.3,1,15,0.3814,0.6186,4,3,,,2,2,0.1538,0.1111,,,
James Proche,CLV,WR,1,No,No,Yes,1,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,1,,,,,,,,,,,,
Joe Mixon,HST,RB,41,No,No,Yes,29,5,No,Yes,5,1,1,0.1724,4,0.8,28,13,3,25,0.7586,3,,,5,90,0.9655,5.6,-1.187,7,3.25,0.75,1,8.4307,8.4307,0.125,2.8,6.8,4.8,8.8,6.8,6.8,4.8,6.8,6.8,6.8,4.8,6.8,6.8,1,14,0.1724,0.069,,,,,,,,,,,
Kristian Wilkerson,LV,WR,5,No,No,No,5,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.2,0.8,,,,,,,,,,,
Puka Nacua,LA,WR,46,Yes,Yes,No,45,10,No,No,10,1,,0.2222,9,0.9,94,33,16,64,,6,,,6.4,105.8,2.0889,9.4,2.5959,10.4444,3.6667,1.7778,5,15.9759,15.9759,0.2381,9.4,18.4,13.9,18.4,18.4,18.4,13.9,18.4,18.4,18.4,13.9,18.4,18.4,,11,0.2889,0.7111,1,,,,,,,,,,
Luke Musgrave,GB,TE,12,No,No,No,11,2,No,Yes,1,0.5,,0.1818,1,0.5,5,3,,18,,,,,9,16.7,0.4545,2.5,-5.7805,5,3,,,3.1211,3.1211,0.1818,0.5,1.5,1,1.5,2,1.5,1,1.5,1.5,1.5,1,2,1.5,,7,0.1818,0.0909,,,0.7273,,,,,,,,
Christian Kirk,JAX,WR,35,No,Yes,Yes,35,5,No,Yes,4,0.8,,0.1429,2,0.4,21,4,3,53,,5,,,10.6,13.3,0.6,4.2,-4.408,10.5,2,1.5,1,7.8354,7.8354,0.1471,2.1,4.1,3.1,4.1,4.1,4.1,3.1,4.1,4.1,4.1,3.1,4.1,4.1,,8,0.8571,0.1429,2,,,,,,,,,,
Aaron Jones,MIN,RB,57,No,No,No,48,15,Yes,Yes,15,1,,0.3125,12,0.8,86,74,11,17,0.875,4,4,0.2667,1.1333,90.6,1.7917,5.7333,-0.629,7.1667,6.1667,0.9167,3,24.5036,24.5036,0.2941,7.6,19.6,13.6,25.6,19.6,19.6,12.6,18.6,18.6,18.6,12.6,19.6,18.6,4,17,0.0417,0.0417,1,,0.0417,,1,1,0.0833,0.0667,,,
Luke Farrell,JAX,TE,15,No,Yes,Yes,13,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.1538,0.0769,,,0.7692,,,,,,,,
Chris Conley,SF,WR,20,No,No,No,19,3,Yes,Yes,2,0.6667,1,0.1579,1,0.3333,13,7,1,25,,1,,,8.3333,8.3,0.6842,4.3333,-3.3532,13,7,1,1,6.5493,6.5493,0.15,1.3,2.3,1.8,2.3,2.3,2.3,1.8,2.3,2.3,2.3,1.8,2.3,2.3,1,15,0.2632,0.7368,1,,,,,,,,,,
Travis Homer,CHI,RB,7,No,Yes,No,5,,No,Yes,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,
Skyy Moore,KC,WR,5,No,No,No,4,1,No,Yes,1,1,,0.25,,,,,,9,0.25,,,,9,39.6,,,-7.4539,,,,,1.5881,1.5881,0.2,,,,,,,,,,,,,,,6,,0.75,,,,,1,,,1,,,
Jaelon Darden,SEA,WR,2,No,No,No,2,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,1,,,,,,,,,,,
David Martin-Robinson,TEN,TE,2,No,No,Yes,2,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,1,,,,,,,,
Nate Adkins,DEN,TE,16,No,No,No,14,3,No,Yes,3,1,,0.2143,3,1,28,15,6,13,,,,,4.3333,145.1,2,9.3333,3.1289,9.3333,5,2,1,4.8474,4.8474,0.2,8.8,11.8,10.3,11.8,13.3,11.8,10.3,11.8,11.8,11.8,10.3,13.3,11.8,2,17,0.0714,0.0714,,,0.8571,1,,1,0.3333,,,,
Luke Schoonmaker,DAL,TE,36,No,No,Yes,30,8,Yes,Yes,6,0.75,,0.2667,6,0.75,52,13,12,59,,6,,,7.375,91.7,1.7333,6.5,-0.7939,8.6667,2.1667,2,2,11.2787,11.2787,0.2424,5.2,11.2,8.2,11.2,14.2,11.2,8.2,11.2,11.2,11.2,8.2,14.2,11.2,,17,0.3333,0.3,3,3,0.3667,,,,,,,,
Trent Taylor,SF,WR,2,No,No,No,2,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.5,0.5,,,,,,,,,,,
Jack Stoll,MIA,TE,4,No,No,No,3,2,No,Yes,2,1,,0.6667,2,1,10,3,1,7,,,,,3.5,87.5,3.3333,5,-1.1943,5,1.5,0.5,,2.8001,2.8001,0.5,1,3,2,3,4,3,2,3,3,3,2,4,3,,9,0.3333,0.3333,,,0.3333,,,,,,,,
Shane Zylstra,DET,TE,16,No,No,No,14,,Yes,Yes,,,,,,,,,,,0.1429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,0.3571,0.2857,,,0.2143,,,,,,,,
Mecole Hardman,KC,WR,15,No,No,No,14,2,No,Yes,2,1,,0.1429,2,1,3,11,1,-8,0.1429,2,2,1,-4,79.2,0.2143,1.5,-2.9851,1.5,5.5,0.5,,4.0818,4.0818,0.1538,0.3,2.3,1.3,2.3,2.3,2.3,1.3,2.3,2.3,2.3,1.3,2.3,2.3,2,12,0.3571,0.5,,,,,,,,,,,
Malik Heath,GB,WR,6,No,No,No,6,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,0.1667,0.8333,,,,,,,,,,,
Kenneth Gainwell,PHI,RB,15,No,Yes,No,12,6,No,No,5,0.8333,,0.5,5,0.8333,31,22,13,11,0.8333,,,,1.8333,88.2,2.5833,5.1667,-1.1525,6.2,4.4,2.6,1,8.1268,8.1268,0.4,3.1,8.1,5.6,10.6,8.1,8.1,5.6,8.1,8.1,8.1,5.6,8.1,8.1,,17,,0.1667,,,,,,2,0.4,,,,
Jordan Mims,NO,RB,12,No,No,Yes,9,3,No,Yes,3,1,,0.3333,2,0.6667,35,29,1,9,0.7778,2,1,0.3333,3,106.3,3.8889,11.6667,5.1447,17.5,14.5,0.5,2,7.4249,7.4249,0.2727,3.5,5.5,4.5,6.5,5.5,5.5,4.5,5.5,5.5,5.5,4.5,5.5,5.5,,9,0.2222,,,,,,,,,,,,
David Bell,CLV,WR,1,No,Yes,No,1,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,
Tyler Badie,DEN,RB,1,No,No,No,1,,No,Yes,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,
Jalen Brooks,DAL,WR,41,No,No,Yes,40,6,Yes,Yes,5,0.8333,,0.15,3,0.5,32,9,4,51,,4,,,8.5,66,0.8,5.3333,-2.3832,10.6667,3,1.3333,1,9.3135,9.3135,0.1667,3.2,6.2,4.7,6.2,6.2,6.2,4.7,6.2,6.2,6.2,4.7,6.2,6.2,,14,0.275,0.7,3,1,0.025,,1,1,0.3333,0.1667,,,
Kevin Austin,NO,WR,43,No,No,Yes,39,4,No,Yes,4,1,,0.1026,3,0.75,37,16,8,31,,3,,,7.75,103.1,0.9487,9.25,2.1676,12.3333,5.3333,2.6667,3,6.3751,6.3751,0.093,3.7,6.7,5.2,6.7,6.7,6.7,5.2,6.7,6.7,6.7,5.2,6.7,6.7,,8,0.1538,0.8462,,,,,,,,,,,
KaVontae Turpin,DAL,WR,32,No,No,Yes,32,7,Yes,Yes,7,1,,0.2188,6,0.8571,67,40,17,41,,4,2,0.2857,5.8571,106.5,2.0938,9.5714,2.5974,11.1667,6.6667,2.8333,3,12.1138,12.1138,0.2258,5.7,11.7,8.7,11.7,11.7,11.7,7.7,10.7,10.7,10.7,7.7,11.7,10.7,,17,0.75,0.25,1,,,,1,2,0.3333,0.1429,,,
Jamison Crowder,WAS,WR,16,No,No,Yes,15,6,Yes,Yes,4,0.6667,1,0.4,4,0.6667,34,4,2,58,,4,,,9.6667,81.3,2.2667,5.6667,-2.5692,8.5,1,0.5,2,10.9942,10.9942,0.375,9.4,13.4,11.4,13.4,13.4,13.4,11.4,13.4,13.4,13.4,11.4,13.4,13.4,2,6,0.8667,0.1333,2,2,,1,,,,,1,,
Jalen Nailor,MIN,WR,59,No,No,No,54,7,Yes,Yes,6,0.8571,,0.1296,5,0.7143,71,19,5,72,,6,,,10.2857,103.9,1.3148,10.1429,2.0216,14.2,3.8,1,3,10.9677,10.9677,0.1346,7.1,12.1,9.6,12.1,12.1,12.1,9.6,12.1,12.1,12.1,9.6,12.1,12.1,1,17,0.4074,0.5926,,,,,1,,,0.1429,,,
John Metchie,HST,WR,32,No,No,Yes,30,4,No,Yes,4,1,2,0.1333,2,0.5,31,3,1,41,,3,,,10.25,115.6,1.0333,7.75,-0.5648,15.5,1.5,0.5,2,9.4263,9.4263,0.129,9.1,11.1,10.1,11.1,11.1,11.1,10.1,11.1,11.1,11.1,10.1,11.1,11.1,3,13,0.5667,0.4333,3,1,,1,,,,,1,,
Marquise Brown,KC,WR,5,No,No,No,5,1,No,Yes,1,1,,0.2,1,1,17,8,2,9,,1,,,9,118.8,3.4,17,9.5461,17,8,2,1,1.2868,1.2868,0.2,1.7,2.7,2.2,2.7,2.7,2.7,2.2,2.7,2.7,2.7,2.2,2.7,2.7,,2,0.2,0.8,,,,,,,,,,,
