"Rank","Season","Player","Team","Att","Points Earned","PE Per Play","Points Above Avg","PAA Per Play","EPA","EPA/A","Positive%","PAR","WAR","Boom%","Bust%"
"[object Object]","2025","Brittain Brown","Bears","5","2.82","0.564","2.68","0.536","0.99","0.20","80.0%","2.8","0.1","20.0%","20.0%"
"[object Object]","2025","Tyjae Spears","Titans","72","2.78","0.039","0.38","0.005","3.70","0.05","43.1%","2.7","0.1","12.5%","6.9%"
"[object Object]","2025","Luther Burden III","Bears","6","2.59","0.431","2.39","0.399","1.62","0.27","50.0%","2.6","0.1","33.3%","0.0%"
"[object Object]","2025","Josh Johnson","Commanders","12","2.50","0.209","1.31","0.109","1.30","0.11","66.7%","1.7","0.1","25.0%","16.7%"
"[object Object]","2025","Ray Davis","Bills","58","2.45","0.042","0.69","0.012","2.41","0.04","44.8%","2.6","0.1","17.2%","6.9%"
"[object Object]","2025","Jacardia Wright","Seahawks","5","2.29","0.457","2.10","0.419","0.36","0.07","60.0%","2.3","0.1","40.0%","20.0%"
"[object Object]","2025","Isaiah Bond","Browns","5","2.25","0.450","2.08","0.415","2.99","0.60","80.0%","2.2","0.1","40.0%","0.0%"
"[object Object]","2025","Malik Washington","Dolphins","17","2.07","0.121","1.50","0.088","2.19","0.13","52.9%","2.0","0.1","23.5%","5.9%"
"[object Object]","2025","Jimmy Horn Jr.","Panthers","8","1.84","0.230","1.62","0.202","4.39","0.55","100.0%","1.8","0.1","12.5%","0.0%"
"[object Object]","2025","Travis Etienne","Jaguars","260","1.82","0.007","-6.41","-0.025","-21.93","-0.08","39.2%","2.0","0.1","10.0%","13.5%"
"[object Object]","2025","Malik Willis","Packers","22","1.60","0.073","0.11","0.005","3.60","0.16","54.5%","0.8","0.0","36.4%","13.6%"
"[object Object]","2025","Ollie Gordon II","Dolphins","70","1.55","0.022","-0.98","-0.014","-5.50","-0.08","44.3%","1.3","0.0","11.4%","18.6%"
"[object Object]","2025","Mark Andrews","Ravens","10","1.43","0.143","1.09","0.109","5.35","0.53","60.0%","1.4","0.0","30.0%","20.0%"
"[object Object]","2025","Ameer Abdullah","Colts","14","1.41","0.101","0.92","0.066","0.91","0.06","42.9%","1.4","0.0","14.3%","0.0%"
"[object Object]","2025","Jaxon Smith-Njigba","Seahawks","7","1.23","0.176","1.05","0.149","1.81","0.26","57.1%","1.2","0.0","42.9%","0.0%"
"[object Object]","2025","Nathan Carter","Falcons","9","1.17","0.130","0.87","0.097","2.04","0.23","77.8%","1.2","0.0","11.1%","11.1%"
"[object Object]","2025","Marvin Mims Jr.","Broncos","12","1.10","0.091","0.76","0.063","6.48","0.54","75.0%","1.1","0.0","41.7%","0.0%"
"[object Object]","2025","Kenny Pickett","Raiders","5","1.09","0.218","0.51","0.102","-3.06","-0.61","60.0%","0.7","0.0","40.0%","20.0%"
