"Rank","Season","Player","Team","Pos","Tgts","Points Earned","PE Per Route","Points Above Avg","PAA Per Route","EPA","EPA Per Tgt","Positive%","PAR","WAR","Boom%","Bust%"
"[object Object]","2025","Marquise Brown","Chiefs","WR","26","-1.36","-0.010","-4.62","-0.034","-1.42","-0.05","38.5%","-2.9","-0.1","26.9%","34.6%"
"[object Object]","2025","Kyle Williams","Patriots","WR","8","-1.39","-0.030","-2.50","-0.054","-1.69","-0.21","37.5%","-1.9","-0.1","12.5%","25.0%"
"[object Object]","2025","Troy Franklin","Broncos","WR","22","-1.67","-0.018","-3.81","-0.041","-2.45","-0.11","45.5%","-2.7","-0.1","18.2%","22.7%"
"[object Object]","2025","Demarcus Robinson","49ers","WR","9","-1.74","-0.026","-3.38","-0.051","-3.88","-0.43","44.4%","-2.5","-0.1","22.2%","33.3%"
"[object Object]","2025","Chuba Hubbard","Panthers","RB","9","-1.75","-0.036","-2.94","-0.060","-5.47","-0.61","33.3%","-2.4","-0.1","0.0%","22.2%"
"[object Object]","2025","Isaiah Likely","Ravens","TE","8","-1.98","-0.035","-3.46","-0.061","-3.70","-0.46","25.0%","-2.7","-0.1","12.5%","37.5%"
"[object Object]","2025","David Sills V","Falcons","WR","14","-2.05","-0.022","-4.35","-0.047","-5.67","-0.41","28.6%","-3.2","-0.1","21.4%","28.6%"
"[object Object]","2025","Emeka Egbuka","Buccaneers","WR","45","-2.13","-0.013","-6.02","-0.037","-13.37","-0.30","28.9%","-3.9","-0.1","22.2%","28.9%"
"[object Object]","2025","Jaylin Lane","Commanders","WR","15","-2.49","-0.038","-4.13","-0.063","-1.24","-0.08","40.0%","-3.3","-0.1","26.7%","20.0%"
"[object Object]","2025","Jahan Dotson","Eagles","WR","13","-2.50","-0.019","-5.81","-0.045","-9.15","-0.70","38.5%","-4.2","-0.1","15.4%","46.2%"
"[object Object]","2025","Cade Otton","Buccaneers","TE","22","-2.69","-0.018","-6.26","-0.042","-0.66","-0.03","31.8%","-4.2","-0.1","18.2%","18.2%"
