Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,AlignmentBackfieldRoutesPercentage,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsInside20ReceivingTargetsTotal,playerStatsGamesPlayed,TargetsContestedTotal,TargetsInEndzone,ReceptionsContested,TouchdownsTotal,TouchdownsInEndzone,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,TargetedReadFirstTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,DeepTargetTargetsTotal,playerStatsFirstDownsReceiving,ReceptionsHero,AlignmentInlineRoutesPercentage,DropsTotal,AveragesPerTargetDropsTotal
Braelon Allen,NYJ,RB,7,Yes,No,Yes,6,3,No,Yes,3,1,0.5,2,0.6667,21,23,5,-5,0.5,,0.5,-1.6667,86.8,3.5,7,0.8334,10.5,11.5,2.5,4.0267,4.0267,0.4286,2.1,4.1,3.1,5.1,4.1,4.1,3.1,4.1,4.1,4.1,3.1,4.1,4.1,,17,,,,,,,,3,2,0.6667,,2,,,1,0.3333
Josiah Deguara,JAX,TE,1,No,Yes,No,1,,Yes,Yes,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,
Adam Thielen,CAR,WR,21,No,No,No,21,7,Yes,Yes,7,1,0.3333,7,1,85,9,5,84,,0.619,0.381,12,156.8,4.0476,12.1429,3.2838,12.1429,1.2857,0.7143,12.8128,12.8128,0.3333,14.5,21.5,18,21.5,21.5,21.5,18,21.5,21.5,21.5,18,21.5,21.5,2,10,,1,,1,1,,,6,,,1,5,1,,,
Elijah Higgins,ARZ,TE,21,No,No,No,19,3,Yes,Yes,3,1,0.1579,3,1,17,17,6,9,,0.2105,0.1579,3,129.9,0.8947,5.6667,-1.1269,5.6667,5.6667,2,6.8323,6.8323,0.1429,7.7,10.7,9.2,10.7,12.2,10.7,9.2,10.7,10.7,10.7,9.2,12.2,10.7,1,17,,1,,1,1,,,1,,,,1,,0.6316,,
Dan Chisena,CAR,WR,2,No,No,No,2,,Yes,Yes,,,,,,,,,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,
Jonnu Smith,MIA,TE,49,Yes,No,Yes,42,12,No,Yes,12,1,0.2857,10,0.8333,116,36,6,97,0.0476,0.4286,0.3095,8.0833,134.7,2.7619,9.6667,1.7033,11.6,3.6,0.6,21.534,21.534,0.2449,17.6,27.6,22.6,27.6,32.6,30.6,25.6,27.6,27.6,27.6,22.6,32.6,27.6,2,17,1,2,,1,1,2,0.2,10,2,0.1667,,7,1,0.2143,1,0.0833
Tylan Wallace,BLT,WR,7,No,No,Yes,5,1,No,Yes,1,1,0.2,1,1,2,5,,-3,,0.2,0.8,-3,79.2,0.4,2,-2.9408,2,5,,1.2255,1.2255,0.1429,0.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,1,17,,,,,,,,1,1,1,,,,,,
Harrison Bryant,LV,TE,9,No,No,No,6,1,No,Yes,1,1,0.1667,1,1,12,11,5,1,,0.3333,,1,116.7,2,12,6.2246,12,11,5,1.4989,1.4989,0.1111,1.2,2.2,1.7,2.2,2.7,2.2,1.7,2.2,2.2,2.2,1.7,2.7,2.2,,13,,,,,,1,1,,,,,1,,0.6667,,
Emanuel Wilson,GB,RB,14,Yes,No,No,11,2,No,Yes,2,1,0.1818,2,1,31,43,26,-12,0.8182,0.0909,0.0909,-6,158.3,2.8182,15.5,10.3001,15.5,21.5,13,4.1718,4.1718,0.1429,9.1,11.1,10.1,12.1,11.1,11.1,10.1,11.1,11.1,11.1,10.1,11.1,11.1,,17,,,,1,,1,0.5,1,1,0.5,,1,,,,
Quentin Johnston,LAC,WR,27,No,No,No,27,7,No,Yes,7,1,0.2593,4,0.5714,44,46,8,68,,0.0741,0.9259,9.7143,75.9,1.6296,6.2857,-1.0293,11,11.5,2,11.3911,11.3911,0.2593,4.4,8.4,6.4,8.4,8.4,8.4,6.4,8.4,8.4,8.4,6.4,8.4,8.4,,15,2,,,,,,,5,,,1,2,,,1,0.1429
Johnny Wilson,PHI,WR,11,No,Yes,No,11,,No,Yes,,,,,,,,,,,0.3636,0.6364,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,
Chris Manhertz,NYG,TE,11,No,Yes,No,4,1,No,Yes,1,1,0.25,1,1,2,,,10,,,,10,118.8,0.5,2,-5.7685,2,,,3.6857,3.6857,0.0909,6.2,7.2,6.7,7.2,7.7,7.2,6.7,7.2,7.2,7.2,6.7,7.7,7.2,1,17,1,1,1,1,1,,,1,,,,1,,1,,
Blake Whiteheart,CLV,TE,6,No,No,Yes,5,,No,Yes,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,0.6,,
Garrett Wilson,NYJ,WR,32,Yes,No,Yes,29,6,No,Yes,6,1,0.2069,5,0.8333,50,3,1,64,0.0345,0.3448,0.6207,10.6667,141,1.7241,8.3333,0.3748,10,0.6,0.2,8.5901,8.5901,0.1875,11,16,13.5,16,16,16,13.5,16,16,16,13.5,16,16,1,17,3,1,2,1,1,,,4,,,1,3,1,,1,0.1667
Deuce Vaughn,DAL,RB,1,No,No,Yes,1,1,No,Yes,1,1,1,1,1,4,3,2,1,1,,,1,83.3,4,4,-1.7294,4,3,2,1.3087,1.3087,1,0.4,1.4,0.9,1.9,1.4,1.4,0.9,1.4,1.4,1.4,0.9,1.4,1.4,,6,,,,,,1,1,,,,,,,,,
Jeff Wilson,MIA,RB,6,Yes,No,Yes,4,,No,Yes,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,
Kameron Johnson,TB,WR,2,Yes,Yes,Yes,2,1,No,Yes,1,1,0.5,,,,,,5,,,1,5,39.6,,,-6.3628,,,,3.65,3.65,0.5,,,,,,,,,,,,,,1,4,,1,,,,,,1,,,,,,,1,1
Dyami Brown,WAS,WR,15,No,No,Yes,14,5,No,Yes,5,1,0.3571,4,0.8,33,20,4,42,,0.1429,0.8571,8.4,94.2,2.3571,6.6,-1.0407,8.25,5,1,11.2527,11.2527,0.3333,3.3,7.3,5.3,7.3,7.3,7.3,5.3,7.3,7.3,7.3,5.3,7.3,7.3,,16,1,,,,,,,4,2,0.4,1,2,,,,
Ty Johnson,BUF,RB,14,Yes,Yes,No,13,2,No,Yes,2,1,0.1538,2,1,38,29,4,9,0.6923,0.0769,0.1538,4.5,118.8,2.9231,19,11.4023,19,14.5,2,4.5885,4.5885,0.1429,3.8,5.8,4.8,6.8,5.8,5.8,4.8,5.8,5.8,5.8,4.8,5.8,5.8,1,17,,,,,,,,2,1,0.5,,2,,0.0769,,
Van Jefferson,PIT,WR,22,No,No,No,20,1,No,Yes,1,1,0.05,,,,,,22,,0.2,0.8,22,39.6,,,-11.9241,,,,2.1905,2.1905,0.0455,,,,,,,,,,,,,,,17,1,,,,,,,1,,,1,,,,1,1
Brandon Powell,MIN,WR,8,No,No,Yes,5,,Yes,Yes,,,,,,,,,,,0.2,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,
Kareem Hunt,KC,RB,21,No,No,No,12,1,No,Yes,1,1,0.0833,1,1,-5,,,-5,0.8333,,,-5,79.2,-0.4167,-5,-10.8711,-5,,,1.6867,1.6867,0.0476,-0.5,0.5,,1,0.5,0.5,,0.5,0.5,0.5,,0.5,0.5,,13,1,,1,,,,,,,,,,,0.1667,,
Derrick Henry,BLT,RB,23,No,No,Yes,18,3,No,Yes,3,1,0.1667,3,1,17,23,15,-6,1,,,-2,90.3,0.9444,5.6667,0.0855,5.6667,7.6667,5,4.3001,4.3001,0.1304,1.7,4.7,3.2,6.2,4.7,4.7,3.2,4.7,4.7,4.7,3.2,4.7,4.7,,17,1,,1,,,1,0.3333,1,1,0.3333,,1,,,,
Robert Tonyan,MIN,TE,1,Yes,No,Yes,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,1,,
Zach Charbonnet,SEA,RB,26,No,No,Yes,16,7,Yes,Yes,7,1,0.4375,7,1,29,41,15,-12,0.75,0.125,0.125,-1.7143,83.9,1.8125,4.1429,-1.7626,4.1429,5.8571,2.1429,10.0023,10.0023,0.2692,2.9,9.9,6.4,13.4,9.9,9.9,6.4,9.9,9.9,9.9,6.4,9.9,9.9,,17,,,,,,,,2,1,0.1429,,,,,,
Chuba Hubbard,CAR,RB,33,No,No,No,23,6,No,Yes,6,1,0.2609,6,1,9,8,2,1,0.6522,0.1739,0.1739,0.1667,79.2,0.3913,1.5,-4.33,1.5,1.3333,0.3333,8.4805,8.4805,0.1818,0.9,6.9,3.9,9.9,6.9,6.9,3.9,6.9,6.9,6.9,3.9,6.9,6.9,,15,,,,,,,,,,,,1,,,,
Jared Wayne,HST,WR,2,No,Yes,No,2,,No,Yes,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,
AJ Barner,SEA,TE,16,No,No,Yes,12,2,Yes,Yes,2,1,0.1667,2,1,22,16,1,15,,0.3333,0.0833,7.5,152.1,1.8333,11,2.8325,11,8,0.5,5.163,5.163,0.125,8.2,10.2,9.2,10.2,11.2,10.2,9.2,10.2,10.2,10.2,9.2,11.2,10.2,1,17,,1,,1,1,,,1,,,,2,,0.5833,,
Rachaad White,TB,RB,30,No,Yes,Yes,23,6,No,Yes,6,1,0.2609,6,1,64,71,5,-7,0.913,0.087,,-1.1667,150.7,2.7826,10.6667,4.7089,10.6667,11.8333,0.8333,10.656,10.656,0.2,18.4,24.4,21.4,27.4,24.4,24.4,21.4,24.4,24.4,24.4,21.4,24.4,24.4,2,16,,,,2,,1,0.1667,4,2,0.3333,,4,,,,
Cam Grandy,CIN,TE,3,No,No,No,2,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,1,,
Malachi Corley,NYJ,WR,1,No,No,No,1,,No,No,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,
Elijah Moore,CLV,WR,41,No,No,Yes,37,7,No,Yes,7,1,0.1892,5,0.7143,62,12,4,72,,0.4595,0.5405,10.2857,98.5,1.6757,8.8571,1.5512,12.4,2.4,0.8,11.0877,11.0877,0.1707,12.2,17.2,14.7,17.2,17.2,17.2,14.7,17.2,17.2,17.2,14.7,17.2,17.2,,17,1,1,,1,1,,,5,,,1,1,1,,1,0.1429
Xavier Worthy,KC,WR,34,No,No,Yes,34,8,No,Yes,8,1,0.2353,5,0.625,55,61,9,39,0.0294,0.4412,0.5294,4.875,122.4,1.6176,6.875,-0.3004,11,12.2,1.8,14.2863,14.2863,0.2353,11.5,16.5,14,16.5,16.5,16.5,14,16.5,16.5,16.5,14,16.5,16.5,2,17,2,1,,1,,1,0.2,7,2,0.25,,4,,,1,0.125
Pat Freiermuth,PIT,TE,29,No,No,No,27,7,No,Yes,7,1,0.2593,7,1,62,21,6,47,,0.4444,0.1852,6.7143,143.2,2.2963,8.8571,1.1914,8.8571,3,0.8571,12.3709,12.3709,0.2414,11.2,18.2,14.7,18.2,21.7,18.2,13.7,17.2,17.2,17.2,13.7,21.7,17.2,2,17,1,1,1,1,1,,,5,,,,2,1,0.3704,,
Isiah Pacheco,KC,RB,7,No,No,No,5,2,No,Yes,2,1,0.4,2,1,5,14,2,-9,0.8,0.2,,-4.5,79.2,1,2.5,-3.2205,2.5,7,1,2.7313,2.7313,0.2857,0.5,2.5,1.5,3.5,2.5,2.5,1.5,2.5,2.5,2.5,1.5,2.5,2.5,,7,,,,,,,,,,,,,,,,
Cordarrelle Patterson,PIT,RB,4,No,No,No,3,1,No,Yes,1,1,0.3333,,,,,,10,0.3333,0.3333,0.3333,10,39.6,,,-7.1731,,,,1.5319,1.5319,0.25,,,,,,,,,,,,,,,13,1,,,,,,,1,,,,,,,,
Jacob Cowing,SF,WR,6,No,No,No,6,,Yes,Yes,,,,,,,,,,,0.1667,0.8333,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,
Calvin Austin,PIT,WR,23,No,No,No,23,2,No,Yes,2,1,0.087,2,1,18,8,3,10,,0.5652,0.4348,5,104.2,0.7826,9,2.6372,9,4,1.5,2.8466,2.8466,0.087,1.8,3.8,2.8,3.8,3.8,3.8,2.8,3.8,3.8,3.8,2.8,3.8,3.8,,17,,,,,,,,2,,,,1,,,,
Ronnie Bell,SF,WR,8,No,No,No,8,,No,Yes,,,,,,,,,,,0.25,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,
Bijan Robinson,ATL,RB,47,No,No,No,36,9,Yes,Yes,9,1,0.25,7,0.7778,25,47,8,-20,0.8333,0.0833,0.0833,-2.2222,79.2,0.6944,2.7778,-3.1561,3.5714,6.7143,1.1429,12.5768,12.5768,0.1915,2.5,9.5,6,13,9.5,9.5,6,9.5,9.5,9.5,6,9.5,9.5,1,17,,,,,,2,0.2857,4,4,0.4444,,1,1,,2,0.2222
Jaleel McLaughlin,DEN,RB,8,No,No,Yes,6,1,No,Yes,1,1,0.1667,1,1,-5,,,-5,0.6667,,0.3333,-5,79.2,-0.8333,-5,-10.8711,-5,,,1.6724,1.6724,0.125,-0.5,0.5,,1,0.5,0.5,,0.5,0.5,0.5,,0.5,0.5,,16,,,,,,,,1,1,1,,,,,,
Geoff Swaim,CLV,TE,2,No,No,No,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,1,,
Jeremy Ruckert,NYJ,TE,10,Yes,No,Yes,9,2,No,Yes,2,1,0.2222,1,0.5,8,18,4,8,0.1111,0.2222,,4,60.4,0.8889,4,-5.538,8,18,4,3.0985,3.0985,0.2,0.8,1.8,1.3,1.8,2.3,1.8,1.3,1.8,1.8,1.8,1.3,2.3,1.8,,17,1,,,,,,,1,,,,,,0.6667,,
Kalif Raymond,DET,WR,16,No,No,Yes,15,5,Yes,Yes,5,1,0.3333,4,0.8,48,37,11,47,,0.5333,0.4667,9.4,106.7,3.2,9.6,1.8832,12,9.25,2.75,8.7888,8.7888,0.3125,4.8,8.8,6.8,8.8,8.8,8.8,6.8,8.8,8.8,8.8,6.8,8.8,8.8,,12,,,,,,1,0.25,5,2,0.4,1,2,,,,
Darnell Mooney,ATL,WR,48,No,No,No,46,9,No,Yes,9,1,0.1957,6,0.6667,68,21,4,101,,0.3696,0.6304,11.2222,126.2,1.4783,7.5556,-0.6958,11.3333,3.5,0.6667,15.8481,15.8481,0.1875,12.8,18.8,15.8,18.8,18.8,18.8,15.8,18.8,18.8,18.8,15.8,18.8,18.8,,16,5,,3,1,,,,8,1,0.1111,2,5,1,,,
Brandon Aiyuk,SF,WR,31,No,Yes,Yes,30,5,No,Yes,5,1,0.1667,5,1,114,45,41,69,,0.1667,0.8333,13.8,118.8,3.8,22.8,13.324,22.8,9,8.2,7.6775,7.6775,0.1613,11.4,16.4,13.9,16.4,16.4,19.4,16.9,16.4,16.4,16.4,13.9,16.4,16.4,1,7,2,,2,,,1,0.2,3,,,,5,,,,
Allen Lazard,NYJ,WR,19,Yes,No,Yes,14,3,No,Yes,3,1,0.2143,1,0.3333,52,,,86,,0.3571,0.6429,28.6667,121.5,3.7143,17.3333,5.6971,52,,,4.2827,4.2827,0.1579,11.2,12.2,11.7,12.2,12.2,12.2,11.7,12.2,12.2,12.2,11.7,12.2,12.2,,12,1,1,1,1,1,,,2,,,1,1,1,,1,0.3333
Andrei Iosivas,CIN,WR,69,No,No,No,66,8,No,Yes,8,1,0.1212,5,0.625,70,2,,102,,0.5,0.5,12.75,130.2,1.0606,8.75,-0.005,14,0.4,,16.9876,16.9876,0.1159,13,18,15.5,18,18,18,15.5,18,18,18,15.5,18,18,1,17,2,1,,1,1,,,5,,,2,4,1,,1,0.125
Kaden Davis,CLV,WR,1,No,No,Yes,1,,No,Yes,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
Zay Jones,ARZ,WR,13,No,No,No,12,,Yes,Yes,,,,,,,,,,,0.25,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,
Ben Sinnott,WAS,TE,5,No,No,Yes,3,,No,Yes,,,,,,,,,,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,0.6667,,
Stefon Diggs,HST,WR,18,No,No,No,16,4,No,Yes,4,1,0.25,3,0.75,34,13,6,33,,0.5625,0.4375,8.25,100,2.125,8.5,0.6886,11.3333,4.3333,2,6.1737,6.1737,0.2222,3.4,6.4,4.9,6.4,6.4,6.4,4.9,6.4,6.4,6.4,4.9,6.4,6.4,,8,,,,,,1,0.3333,1,,,1,1,,,1,0.25
Austin Ekeler,WAS,RB,17,No,No,Yes,9,,No,Yes,,,,,,,,,,0.6667,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,
Jaheim Bell,NE,TE,2,Yes,Yes,No,1,,No,Yes,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,
Drew Sample,CIN,TE,30,No,No,No,16,1,No,Yes,1,1,0.0625,1,1,8,3,1,5,0.1875,0.1875,0.1875,5,100,0.5,8,1.52,8,3,1,1.4109,1.4109,0.0333,0.8,1.8,1.3,1.8,2.3,1.8,1.3,1.8,1.8,1.8,1.3,2.3,1.8,,17,,,,,,,,1,,,,,,0.4375,,
Daniel Bellinger,NYG,TE,8,No,Yes,No,6,1,No,Yes,1,1,0.1667,1,1,11,9,3,2,0.1667,0.3333,,2,112.5,1.8333,11,4.6299,11,9,3,2.7975,2.7975,0.125,1.1,2.1,1.6,2.1,2.6,2.1,1.6,2.1,2.1,2.1,1.6,2.6,2.1,,17,,,,,,,,,,,,1,,0.5,,
Najee Harris,PIT,RB,11,No,No,No,9,2,No,Yes,2,1,0.2222,2,1,18,19,2,-1,0.7778,,0.1111,-0.5,104.2,2,9,2.8389,9,9.5,1,2.5934,2.5934,0.1818,1.8,3.8,2.8,4.8,3.8,3.8,2.8,3.8,3.8,3.8,2.8,3.8,3.8,,17,,,,,,,,1,1,0.5,,,,0.1111,,
Chase Brown,CIN,RB,42,No,No,No,30,2,No,Yes,2,1,0.0667,2,1,5,9,5,-4,0.7333,0.1333,0.1333,-2,79.2,0.1667,2.5,-3.3003,2.5,4.5,2.5,5.9584,5.9584,0.0476,0.5,2.5,1.5,3.5,2.5,2.5,1.5,2.5,2.5,2.5,1.5,2.5,2.5,,16,,,,,,,,1,1,0.5,,,,,,
Curtis Samuel,BUF,WR,8,Yes,Yes,No,8,1,No,Yes,1,1,0.125,1,1,6,,,6,,0.25,0.75,6,91.7,0.75,6,-0.9491,6,,,1.3128,1.3128,0.125,0.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,,14,1,,1,,,,,,,,,,,,,
Tanner Hudson,CIN,TE,12,No,No,No,11,3,No,Yes,3,1,0.2727,2,0.6667,14,4,3,10,0.0909,0.4545,0.1818,3.3333,77.1,1.2727,4.6667,-1.4829,7,2,1.5,4.2712,4.2712,0.25,1.4,3.4,2.4,3.4,4.4,3.4,2.4,3.4,3.4,3.4,2.4,4.4,3.4,,11,,,,,,,,2,,,,,,0.2727,,
Trey Palmer,TB,WR,20,No,Yes,Yes,19,,No,Yes,,,,,,,,,,,0.3158,0.6842,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,
Kyren Williams,LA,RB,30,Yes,No,Yes,15,2,No,Yes,2,1,0.1333,1,0.5,2,5,2,-12,0.9333,,0.0667,-6,56.3,0.1333,1,-4.3239,2,5,2,4.8277,4.8277,0.0667,0.2,1.2,0.7,1.7,1.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,,16,,,,,,,,2,2,1,,,,,1,0.5
Tucker Kraft,GB,TE,43,Yes,No,No,35,11,No,Yes,11,1,0.3143,9,0.8182,115,70,27,67,0.0286,0.3143,0.0857,6.0909,110.2,3.2857,10.4545,3.0587,12.7778,7.7778,3,17.7886,17.7886,0.2558,11.5,20.5,16,20.5,25,23.5,19,20.5,20.5,20.5,16,25,20.5,2,17,2,,1,,,,,6,2,0.1818,2,5,1,0.5714,1,0.0909
Payne Durham,TB,TE,19,No,Yes,Yes,6,1,No,Yes,1,1,0.1667,1,1,26,4,1,22,,0.3333,,22,118.8,4.3333,26,15.4251,26,4,1,1.328,1.328,0.0526,2.6,3.6,3.1,3.6,4.1,3.6,3.1,3.6,3.6,3.6,3.1,4.1,3.6,,16,1,,1,,,,,,,,1,1,1,0.6667,,
Jalen Reagor,LAC,WR,4,Yes,No,No,4,2,Yes,Yes,2,1,0.5,2,1,35,,,35,,0.25,0.75,17.5,118.8,8.75,17.5,7.466,17.5,,,4.6271,4.6271,0.5,3.5,5.5,4.5,5.5,5.5,5.5,4.5,5.5,5.5,5.5,4.5,5.5,5.5,,8,1,,1,,,,,2,,,1,2,2,,,
Patrick Taylor,SF,RB,7,No,No,No,4,,Yes,Yes,,,,,,,,,,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,0.25,,
Carson Steele,KC,RB,5,No,No,Yes,5,1,No,Yes,1,1,0.2,1,1,9,8,1,1,1,,,1,104.2,1.8,9,3.2706,9,8,1,1.3736,1.3736,0.2,0.9,1.9,1.4,2.4,1.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,,16,,,,,,1,1,,,,,,,,,
Trey McBride,ARZ,TE,55,No,No,No,51,13,Yes,Yes,13,1,0.2549,11,0.8462,137,30,13,110,,0.5294,0.0392,8.4615,110.6,2.6863,10.5385,2.4289,12.4545,2.7273,1.1818,24.1172,24.1172,0.2364,13.7,24.7,19.2,24.7,30.2,27.7,22.2,24.7,24.7,24.7,19.2,30.2,24.7,1,16,1,1,1,,,1,0.0909,10,1,0.0769,,10,1,0.4314,2,0.1538
John Bates,WAS,TE,15,No,No,Yes,9,,No,Yes,,,,,,,,,,,0.2222,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,0.7778,,
Dontayvion Wicks,GB,WR,25,Yes,No,No,21,6,No,Yes,6,1,0.2857,4,0.6667,49,20,18,93,,0.1429,0.8571,15.5,91.7,2.3333,8.1667,-0.8212,12.25,5,4.5,11.7447,11.7447,0.24,4.9,8.9,6.9,8.9,8.9,8.9,6.9,8.9,8.9,8.9,6.9,8.9,8.9,,17,2,1,,,,3,0.75,6,,,2,2,,,2,0.3333
Marcedes Lewis,CHI,TE,8,Yes,No,No,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,1,,
Dawson Knox,BUF,TE,14,No,No,No,12,4,No,Yes,4,1,0.3333,4,1,67,27,17,40,,0.3333,0.0833,10,118.8,5.5833,16.75,8.6111,16.75,6.75,4.25,6.2695,6.2695,0.2857,6.7,10.7,8.7,10.7,12.7,10.7,8.7,10.7,10.7,10.7,8.7,12.7,10.7,,16,1,,1,,,,,3,,,,2,1,0.5833,,
Noah Brown,WAS,WR,25,Yes,No,Yes,23,7,No,Yes,7,1,0.3043,5,0.7143,112,6,1,133,,0.1304,0.8696,19,153.3,4.8696,16,6.4133,22.4,1.2,0.2,12.0876,12.0876,0.28,17.2,22.2,19.7,22.2,22.2,25.2,22.7,22.2,22.2,22.2,19.7,22.2,22.2,1,11,1,,,1,,,,6,,,3,4,,,1,0.1429
Kyle Pitts,ATL,TE,48,No,No,No,42,10,Yes,Yes,10,1,0.2381,7,0.7,57,17,10,58,,0.3333,0.2381,5.8,84.2,1.3571,5.7,-1.2865,8.1429,2.4286,1.4286,16.0644,16.0644,0.2083,5.7,12.7,9.2,12.7,16.2,12.7,9.2,12.7,12.7,12.7,9.2,16.2,12.7,1,17,2,,1,,,2,0.2857,6,,,1,3,,0.4286,2,0.2
Brayden Willis,SF,TE,1,No,No,No,1,1,Yes,Yes,1,1,1,,,,,,6,,1,,6,39.6,,,-7.093,,,,1.5307,1.5307,1,,,,,,,,,,,,,,,9,1,,,,,,,1,,,,,,,1,1
Dante Pettis,NO,WR,11,No,Yes,Yes,11,3,No,Yes,3,1,0.2727,3,1,33,6,2,27,,0.5455,0.4545,9,112.5,3,11,2.6646,11,2,0.6667,5.0251,5.0251,0.2727,3.3,6.3,4.8,6.3,6.3,6.3,4.8,6.3,6.3,6.3,4.8,6.3,6.3,,8,,,,,,,,3,1,0.3333,,2,,,,
Brevin Jordan,HST,TE,2,No,Yes,No,2,1,Yes,Yes,1,1,0.5,1,1,4,,,4,,0.5,0.5,4,83.3,2,4,-2.0667,4,,,1.3495,1.3495,0.5,0.4,1.4,0.9,1.4,1.9,1.4,0.9,1.4,1.4,1.4,0.9,1.9,1.4,,2,,,,,,,,1,,,,,,,,
Jayden Reed,GB,WR,37,Yes,No,No,36,6,No,Yes,6,1,0.1667,5,0.8333,91,13,2,76,0.0556,0.8333,0.1111,12.6667,158.3,2.5278,15.1667,6.9102,18.2,2.6,0.4,14.3299,14.3299,0.1622,15.1,20.1,17.6,20.1,20.1,20.1,17.6,20.1,20.1,20.1,17.6,20.1,20.1,2,17,2,1,2,1,1,,,4,2,0.3333,2,3,1,,1,0.1667
Ainias Smith,PHI,WR,5,No,Yes,No,5,2,No,Yes,2,1,0.4,2,1,13,5,3,8,,0.8,0.2,4,93.8,2.6,6.5,0.5936,6.5,2.5,1.5,2.9956,2.9956,0.4,1.3,3.3,2.3,3.3,3.3,3.3,2.3,3.3,3.3,3.3,2.3,3.3,3.3,,7,,,,,,,,1,,,,,,,,
Chris Godwin,TB,WR,20,No,No,No,19,8,Yes,Yes,8,1,0.4211,7,0.875,73,43,11,60,,0.5789,0.4211,7.5,104.7,3.8421,9.125,1.7724,10.4286,6.1429,1.5714,11.3071,11.3071,0.4,7.3,14.3,10.8,14.3,14.3,14.3,10.8,14.3,14.3,14.3,10.8,14.3,14.3,1,7,1,,,,,,,8,1,0.125,1,4,,,,
