Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsPerRoute,YardsAirTotal,AlignmentBackfieldRoutesPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerTargetYardsOverExpected,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsGamesPlayed,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsInEndzone,ReceptionsTotal,ReceptionsPercentage,YardsTotal,TouchdownsTotal,TouchdownsInEndzone,AlignmentInlineRoutesPercentage,AlignmentWideRoutesPercentage,TargetedReadFirstTotal,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerReceptionYardsTotal,playerStatsFirstDownsReceiving,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsInside20ReceivingTargetsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,DropsTotal,AlignmentSlotRoutesPercentage,AveragesPerTargetDropsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,TargetsContestedTotal,ReceptionsContested,DeepTargetTargetsTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,ReceptionsHero,TargetedReadDesignTotal,TargetedReadDesignPercentage
Quinshon Judkins,CLV,RB,13,No,Yes,No,7,,No,Yes,,,1,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tetairoa McMillan,CAR,WR,18,Yes,No,Yes,18,3,No,Yes,0.1667,27,,9,109.7,-4.5881,8.3581,8.3581,0.2,17,2,0.6667,2,2,0.6667,9,1,1,,0.9444,1,0.5,3,4.5,1,6.9,8.9,7.9,8.9,8.9,8.9,7.9,8.9,8.9,8.9,7.9,8.9,8.9,2,1,,,0.0556,,0.5,,,,,,,,,
Devaughn Vele,NO,WR,13,Yes,No,No,11,1,No,Yes,0.0909,-1,,-1,39.6,-6.1699,2.9687,2.9687,0.1,13,1,1,,,,,,,0.2727,0.6364,1,,,,,,,,,,,,,,,,,,,,,1,0.0909,1,,,,,,,,,,
David Sills,ATL,WR,5,Yes,No,No,5,,No,Yes,,,,,,,,,,17,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isaiah Hodgins,NYG,WR,8,Yes,No,Yes,7,,No,Yes,,,,,,,,,,7,,,,,,,,,0.2857,0.5714,,,,,,,,,,,,,,,,,,,,,,,0.1429,,,,,,,,,,,
Devin Singletary,NYG,RB,6,Yes,No,Yes,3,1,No,Yes,0.3333,-1,0.6667,-1,118.8,35.181,1.4477,1.4477,0.1667,17,1,1,,1,1,41,,,,0.3333,1,13.6667,41,41,1,4.1,5.1,4.6,5.6,5.1,5.1,4.6,5.1,5.1,5.1,4.6,5.1,5.1,,42,43,,,,42,43,,,,2,2,,,
Gage Larvadain,CLV,WR,2,Yes,Yes,Yes,2,,No,Yes,,,,,,,,,,13,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,
Josh Oliver,MIN,TE,13,Yes,Yes,Yes,10,4,No,No,0.4,17,,4.25,158.3,5.4775,6.5057,6.5057,0.4,15,4,1,,4,1,52,1,,1,,3,5.2,13,13,2,11.2,15.2,13.2,15.2,17.2,15.2,13.2,15.2,15.2,15.2,13.2,17.2,15.2,,35,4,,,,8.75,1,1,1,,1,0.25,,,
Nick Chubb,HST,RB,15,Yes,No,No,2,,Yes,Yes,,,1,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Carter,ARZ,RB,6,Yes,No,Yes,2,,No,Yes,,,1,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyjae Spears,TEN,RB,6,Yes,Yes,Yes,2,2,No,No,1,1,1,0.5,56.3,-3.6068,2.9157,2.9157,0.4,13,1,0.5,,1,0.5,5,,,,,1,2.5,2.5,5,,0.5,1.5,1,2,1.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,,3,1,,,,3,1,,,,,,,,
Keaton Mitchell,BLT,RB,5,No,No,No,3,,Yes,Yes,,,1,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DJ Moore,CHI,WR,36,Yes,Yes,No,32,8,No,No,0.25,118,0.0312,14.75,110.4,2.3267,13.8895,13.8895,0.2667,17,7,0.875,1,6,0.75,88,1,1,,0.6562,5,2.75,11,14.6667,5,18.88,24.88,21.88,24.88,24.88,24.88,21.88,24.88,24.88,24.88,21.88,24.9,24.9,1,16,3,,0.3125,,2.6667,0.5,4,3,3,,,,2,0.25
Bucky Irving,TB,RB,11,Yes,No,Yes,4,1,No,Yes,0.25,-7,1,-7,158.3,19.4713,0.9524,0.9524,0.1111,10,1,1,,1,1,24,1,,,,1,6,24,24,1,8.4,9.4,8.9,9.9,9.4,9.4,8.9,9.4,9.4,9.4,8.9,9.4,9.4,,31,3,,,,31,3,,,,1,1,,1,1
Rome Odunze,CHI,WR,22,Yes,No,No,18,5,No,No,0.2778,77,,15.4,87.1,-0.2005,9.3841,9.3841,0.25,12,3,0.6,,3,0.6,42,,,,0.7222,4,2.3333,8.4,14,3,4.2,7.2,5.7,7.2,7.2,7.2,5.7,7.2,7.2,7.2,5.7,7.2,7.2,,22,12,,0.2778,,7.3333,4,1,,1,,,,,
Brenden Bates,CLV,TE,6,Yes,Yes,Yes,5,3,No,Yes,0.6,21,,7,92.4,0.1386,6.6801,6.6801,1,9,3,1,,2,0.6667,25,,,1,,1,5,8.3333,12.5,1,2.5,4.5,3.5,4.5,5.5,4.5,3.5,4.5,4.5,4.5,3.5,5.5,4.5,1,4,2,1,,0.3333,2,1,1,,,,,,,
Jacory Croskey-Merritt,WAS,RB,14,Yes,No,No,4,,No,Yes,,,1,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isaiah Davis,NYJ,RB,3,Yes,Yes,Yes,2,1,No,No,0.5,1,0.5,1,39.6,-5.7294,1.3605,1.3605,0.3333,16,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,
Colby Parkinson,LA,TE,34,Yes,No,Yes,29,9,No,Yes,0.3103,48,,5.3333,125,-1.7347,15.9161,15.9161,0.3,15,9,1,,7,0.7778,46,1,,0.9655,,8,1.5862,5.1111,6.5714,4,9.6,16.6,13.1,16.6,20.1,16.6,12.1,15.6,15.6,15.6,12.1,20.1,15.6,6,26,7,2,0.0345,0.2222,3.7143,1,,,,1,0.1429,,,
Isaiah Bond,CLV,WR,5,Yes,Yes,Yes,5,,No,Yes,,,,,,,,,,16,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,
Anthony Firkser,DET,TE,5,Yes,Yes,No,3,,No,No,,,,,,,,,,7,,,,,,,,,0.6667,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Justice Hill,BLT,RB,3,Yes,No,No,1,1,No,Yes,1,-3,1,-3,83.3,-2.1191,1.6239,1.6239,0.3333,10,1,1,,1,1,4,,,,,1,4,4,4,,0.4,1.4,0.9,1.9,1.4,1.4,0.9,1.4,1.4,1.4,0.9,1.4,1.4,,7,1,,,,7,1,,,,,,,,
Tyler Conklin,LAC,TE,5,Yes,No,No,4,2,No,Yes,0.5,13,,6.5,95.8,8.9448,2.6768,2.6768,0.4,10,2,1,,1,0.5,33,,,1,,2,8.25,16.5,33,1,3.3,4.3,3.8,4.3,4.8,4.3,3.8,4.3,4.3,4.3,3.8,4.8,4.3,,22,,1,,0.5,22,,,,,,,,,
James Conner,ARZ,RB,5,Yes,Yes,No,2,1,No,No,0.5,-2,1,-2,122.9,-2.198,3.0214,3.0214,0.25,3,1,1,,1,1,4,1,,,,1,2,4,4,1,6.4,7.4,6.9,7.9,7.4,7.4,6.9,7.4,7.4,7.4,6.9,7.4,7.4,1,6,3,,,,6,3,,,,,,,1,1
Kyle Williams,NE,WR,11,Yes,No,Yes,11,,No,Yes,,,,,,,,,,17,,,,,,,,,,0.9091,,,,,,,,,,,,,,,,,,,,,,,0.0909,,,,,,,,,,,
Christian Watson,GB,WR,9,No,No,No,9,1,No,No,0.1111,8,,8,118.8,-6.5106,3.55,3.55,0.125,10,1,1,1,1,1,1,1,1,,0.6667,1,0.1111,1,1,1,6.1,7.1,6.6,7.1,7.1,7.1,6.6,7.1,7.1,7.1,6.6,7.1,7.1,1,,,,0.3333,,,,1,1,,,,,,
Ben Sims,MIN,TE,3,Yes,Yes,Yes,3,1,No,No,0.3333,17,,17,39.6,-11.6807,1.4423,1.4423,0.5,9,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robbie Chosen,WAS,WR,2,No,No,No,2,,No,No,,,,,,,,,,3,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kayshon Boutte,NE,WR,17,Yes,No,Yes,16,1,No,Yes,0.0625,16,,16,118.8,4.9048,2.465,2.465,0.0714,14,1,1,,1,1,15,,,0.0625,0.875,1,0.9375,15,15,1,1.5,2.5,2,2.5,2.5,2.5,2,2.5,2.5,2.5,2,2.5,2.5,,-1,,,0.0625,,-1,,,,,,,,,
Hunter Long,JAX,TE,10,Yes,No,No,8,3,No,Yes,0.375,16,,5.3333,141,1.6165,6.7546,6.7546,0.4286,9,3,1,1,3,1,25,1,1,1,,3,3.125,8.3333,8.3333,3,8.5,11.5,10,11.5,13,11.5,10,11.5,11.5,11.5,10,13,11.5,2,9,,,,,3,,,,,,,,,
Jonathan Mingo,DAL,WR,1,Yes,No,Yes,1,,No,Yes,,,,,,,,,,6,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cooper Kupp,SEA,WR,16,Yes,No,No,14,1,No,Yes,0.0714,5,,5,152.1,4.6372,3.3535,3.3535,0.0833,16,1,1,,1,1,11,1,,,0.7143,1,0.7857,11,11,1,6.1,7.1,6.6,7.1,7.1,7.1,6.6,6.1,6.1,6.1,5.6,7.1,6.1,1,6,,,0.2857,,6,,,,,,,,,
Tommy Tremble,CAR,TE,15,Yes,No,Yes,13,5,No,Yes,0.3846,7,,1.4,79.2,-2.907,8.1205,8.1205,0.4545,17,5,1,,4,0.8,14,,,0.8462,,3,1.0769,2.8,3.5,,1.4,5.4,3.4,5.4,7.4,5.4,3.4,5.4,5.4,5.4,3.4,7.4,5.4,1,17,1,1,0.1538,0.2,4.25,0.25,,,,1,0.25,,,
Ja'Marr Chase,CIN,WR,12,Yes,Yes,Yes,12,3,No,Yes,0.25,4,0.0833,1.3333,112.5,5.4635,5.8586,5.8586,0.2727,16,3,1,,3,1,33,,,,0.6667,3,2.75,11,11,3,3.3,6.3,4.8,6.3,6.3,6.3,4.8,6.3,6.3,6.3,4.8,6.3,6.3,,29,7,,0.25,,9.6667,2.3333,,,,,,,,
D'Andre Swift,CHI,RB,23,Yes,Yes,No,11,3,No,No,0.2727,-9,1,-3,83.3,-1.6808,4.9186,4.9186,0.15,16,3,1,,3,1,12,,,,,2,1.0909,4,4,2,1.2,4.2,2.7,5.7,4.2,4.2,2.7,4.2,4.2,4.2,2.7,4.2,4.2,,21,6,,,,7,2,,,,,,,1,0.3333
Adam Trautman,DEN,TE,45,Yes,No,No,25,5,No,Yes,0.2,22,0.04,4.4,145.4,2.9079,9.4182,9.4182,0.125,17,5,1,1,5,1,47,1,1,0.72,0.08,4,1.88,9.4,9.4,3,10.7,15.7,13.2,15.7,18.2,15.7,13.2,15.7,15.7,15.7,13.2,18.2,15.7,1,33,5,,0.16,,6.6,1,,,,,,,,
Saquon Barkley,PHI,RB,21,Yes,No,No,4,2,No,Yes,0.5,-1,1,-0.5,39.6,-5.823,2.8003,2.8003,0.1,16,1,0.5,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,0.5,,,,,,,,,,
Evan Engram,DEN,TE,28,Yes,No,No,24,6,No,Yes,0.25,3,0.0833,0.5,138.9,2.2486,9.5346,9.5346,0.25,16,6,1,,6,1,47,1,,0.625,0.125,5,1.9583,7.8333,7.8333,1,10.7,16.7,13.7,16.7,19.7,16.7,13.7,16.7,16.7,16.7,13.7,19.7,16.7,3,44,14,,0.1667,,7.3333,2.3333,,,,1,0.1667,,2,0.3333
Keleki Latu,BUF,TE,6,Yes,No,No,3,,No,Yes,,,,,,,,,,5,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamari Thrash,CLV,WR,1,Yes,No,No,1,,No,No,,,,,,,,,,9,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matthew Golden,GB,WR,10,Yes,Yes,Yes,9,1,No,No,0.1111,-1,,-1,100,1.8301,1.3529,1.3529,0.1,14,1,1,,1,1,8,,,0.1111,0.5556,1,0.8889,8,8,1,0.8,1.8,1.3,1.8,1.8,1.8,1.3,1.8,1.8,1.8,1.3,1.8,1.8,,9,,,0.3333,,9,,,,,,,,,
Will Dissly,LAC,TE,7,Yes,No,No,5,1,No,Yes,0.2,-2,,-2,95.8,2.1489,1.5145,1.5145,0.1667,9,1,1,,1,1,7,,,1,,1,1.4,7,7,1,0.7,1.7,1.2,1.7,2.2,1.7,1.2,1.7,1.7,1.7,1.2,2.2,1.7,,9,1,,,,9,1,,,,1,1,,,
Miles Sanders,DAL,RB,2,Yes,No,No,1,1,No,Yes,1,-7,1,-7,79.2,-3.5287,1.3783,1.3783,0.5,4,1,1,,1,1,1,,,,,1,1,1,1,,0.1,1.1,0.6,1.6,1.1,1.1,0.6,1.1,1.1,1.1,0.6,1.1,1.1,,8,3,,,,8,3,,,,,,,1,1
Pat Bryant,DEN,WR,17,Yes,No,No,14,3,No,Yes,0.2143,65,,21.6667,52.1,-5.7095,5.1736,5.1736,0.1875,15,2,0.6667,,1,0.3333,16,,,,0.6429,3,1.1429,5.3333,16,1,1.6,2.6,2.1,2.6,2.6,2.6,2.1,2.6,2.6,2.6,2.1,2.6,2.6,,2,1,1,0.3571,0.3333,2,1,,,1,,,,,
Marquez Valdes-Scantling,PIT,WR,8,No,No,No,8,4,Yes,Yes,0.5,111,,27.75,39.6,-11.9788,9.6151,9.6151,0.5,10,2,0.5,,,,,,,,0.75,3,,,,,,,,,,,,,,,,,,,,,1,0.25,0.25,,,1,,2,,,,,
Adonai Mitchell,NYJ,WR,18,Yes,No,No,18,1,No,Yes,0.0556,5,,5,87.5,-1.3628,1.4769,1.4769,0.0714,16,1,1,,1,1,5,,,,0.8889,1,0.2778,5,5,,0.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,,,,,0.1111,,,,,,,,,,,
Connor Heyward,PIT,TE,4,No,No,No,2,1,Yes,Yes,0.5,20,,20,156.3,0.2377,3.9048,3.9048,0.25,16,1,1,1,1,1,12,1,1,0.5,0.5,,6,12,12,1,7.2,8.2,7.7,8.2,8.7,8.2,7.7,8.2,8.2,8.2,7.7,8.7,8.2,1,,,,,,,,1,1,1,,,,,
Brevyn Spann-Ford,DAL,TE,10,Yes,No,Yes,6,2,No,Yes,0.3333,11,,5.5,118.8,-3.7719,4.8088,4.8088,0.2222,17,2,1,1,2,1,6,1,1,0.8333,,1,1,3,3,1,6.6,8.6,7.6,8.6,9.6,8.6,7.6,8.6,8.6,8.6,7.6,9.6,8.6,1,1,,,0.1667,,0.5,,,,,,,,,
Tyler Higbee,LA,TE,19,Yes,No,Yes,18,6,No,Yes,0.3333,35,,5.8333,110.4,3.219,9.9174,9.9174,0.375,10,6,1,,5,0.8333,63,,,0.9444,0.0556,4,3.5,10.5,12.6,4,6.3,11.3,8.8,11.3,13.8,11.3,8.8,11.3,11.3,11.3,8.8,13.8,11.3,1,31,5,1,,0.1667,6.2,1,1,1,,,,1,,
Nick Westbrook-Ikhine,MIA,WR,4,Yes,No,Yes,3,1,No,Yes,0.3333,8,,8,112.5,3.4894,1.6348,1.6348,0.5,15,1,1,,1,1,11,,,,1,,3.6667,11,11,1,1.1,2.1,1.6,2.1,2.1,2.1,1.6,2.1,2.1,2.1,1.6,2.1,2.1,,3,1,,,,3,1,,,,,,,,
Jake Bobo,SEA,WR,4,Yes,No,No,3,,No,Yes,,,,,,,,,,11,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elijah Arroyo,SEA,TE,6,Yes,No,Yes,6,1,No,Yes,0.1667,-1,,-1,79.2,-3.9014,1.9571,1.9571,0.25,13,1,1,,1,1,1,,,1,,,0.1667,1,1,,0.1,1.1,0.6,1.1,1.6,1.1,0.6,1.1,1.1,1.1,0.6,1.6,1.1,1,2,1,,,,2,1,,,,,,,,
Darius Slayton,NYG,WR,12,Yes,No,Yes,12,,No,Yes,,,,,,,,,,14,,,,,,,,,,0.8333,,,,,,,,,,,,,,,,,,,,,,,0.1667,,,,,,,,,,,
Jerry Jeudy,CLV,WR,18,Yes,Yes,Yes,18,3,No,Yes,0.1667,48,,16,109.7,5.7839,5.065,5.065,0.25,17,2,0.6667,,2,0.6667,46,,,,0.9444,2,2.5556,15.3333,23,,3.6,5.6,4.6,5.6,5.6,5.6,3.6,4.6,4.6,4.6,3.6,5.6,4.6,,14,,,0.0556,,7,,,,1,,,,,
Nico Collins,HST,WR,21,Yes,No,No,21,3,Yes,Yes,0.1429,61,,20.3333,109.7,4.4902,6.9675,6.9675,0.1579,15,2,0.6667,,2,0.6667,45,,,,0.7619,2,2.1429,15,22.5,2,4.5,6.5,5.5,6.5,6.5,6.5,5.5,6.5,6.5,6.5,5.5,6.5,6.5,,19,2,,0.2381,,9.5,1,,,1,1,0.5,,,
Jake Ferguson,DAL,TE,29,Yes,No,Yes,23,11,No,Yes,0.4783,5,0.0435,0.4545,110.8,-1.1987,19.9443,19.9443,0.3929,17,10,0.9091,,8,0.7273,47,1,,0.7826,,8,2.0435,4.2727,5.875,2,10.7,18.7,14.7,18.7,22.7,18.7,14.7,18.7,18.7,18.7,14.7,22.7,18.7,4,47,19,,0.1739,,5.875,2.375,2,,,1,0.125,,,
Davante Adams,LA,WR,30,No,No,Yes,30,4,No,No,0.1333,31,,7.75,67.7,-1.4803,11.1851,11.1851,0.16,14,2,0.5,2,2,0.5,23,,,,1,2,0.7667,5.75,11.5,2,2.3,4.3,3.3,4.3,4.3,4.3,3.3,4.3,4.3,4.3,3.3,4.3,4.3,3,7,2,,,,3.5,1,,,,,,,,
J.K. Dobbins,DEN,RB,22,Yes,No,No,7,2,No,Yes,0.2857,-2,1,-1,81.3,-2.319,3.0016,3.0016,0.1,10,2,1,,2,1,7,,,,,2,1,3.5,3.5,,0.7,2.7,1.7,3.7,2.7,2.7,1.7,2.7,2.7,2.7,1.7,2.7,2.7,,9,1,,,,4.5,0.5,,,,,,,,
Emari Demercado,ARZ,RB,1,Yes,No,Yes,1,,No,Yes,,,1,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josh Whyle,GB,TE,5,Yes,Yes,Yes,3,2,No,No,0.6667,11,,5.5,118.8,5.7163,3.2589,3.2589,0.4,8,2,1,,2,1,25,,,1,,1,8.3333,12.5,12.5,1,2.5,4.5,3.5,4.5,5.5,4.5,3.5,4.5,4.5,4.5,3.5,5.5,4.5,,14,7,,,,7,3.5,,,,,,,,
Travis Etienne,JAX,RB,25,Yes,Yes,Yes,5,2,No,No,0.4,5,1,2.5,89.6,-0.952,4.0108,4.0108,0.1053,17,2,1,,2,1,11,,,,,1,2.2,5.5,5.5,,1.1,3.1,2.1,4.1,3.1,3.1,2.1,3.1,3.1,3.1,2.1,3.1,3.1,1,6,,,,,3,,,,,,,,,
Jordan Whittington,LA,WR,21,Yes,No,Yes,21,4,No,Yes,0.1905,-1,,-0.25,79.2,-2.7605,5.8683,5.8683,0.2222,17,4,1,,4,1,12,,,,0.381,2,0.5714,3,3,1,1.2,5.2,3.2,5.2,5.2,5.2,3.2,5.2,5.2,5.2,3.2,5.2,5.2,1,13,3,,0.619,,3.25,0.75,,,,,,,,
Bam Knight,ARZ,RB,8,No,No,No,2,,No,No,,,1,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
